experiment_id,candidate_id,measurement,family,acrylic,tackifier,resin_modified,voi,c_decision_relevance,c_extrapolation_risk,c_hypothesis_discrimination,c_measurement_interpretability,c_process_state_risk,c_uncertainty_reduction,discrimination,admissible_cbes,tied_top
S1C41::M-HOLD-120,S1C41,M-HOLD-120,dual_axis_resin_modified,15.0,5.0,True,0.6925,1.0,0.0,0.666667,1.0,0.75,0.9,0.666667,True,True
S1C46::M-HOLD-120,S1C46,M-HOLD-120,dual_axis_resin_modified,17.5,5.0,True,0.6925,1.0,0.0,0.666667,1.0,0.75,0.9,0.666667,True,True
S1C51::M-HOLD-120,S1C51,M-HOLD-120,dual_axis_resin_modified,20.0,5.0,True,0.6925,1.0,0.0,0.666667,1.0,0.75,0.9,0.666667,True,True
S1C56::M-HOLD-120,S1C56,M-HOLD-120,dual_axis_resin_modified,22.5,5.0,True,0.6925,1.0,0.0,0.666667,1.0,0.75,0.9,0.666667,True,True
S1C61::M-HOLD-120,S1C61,M-HOLD-120,dual_axis_resin_modified,25.0,5.0,True,0.6925,1.0,0.0,0.666667,1.0,0.75,0.9,0.666667,True,True
S1C42::M-HOLD-120,S1C42,M-HOLD-120,dual_axis_resin_modified,15.0,7.5,True,0.687917,1.0,0.045833,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C47::M-HOLD-120,S1C47,M-HOLD-120,dual_axis_resin_modified,17.5,7.5,True,0.687917,1.0,0.045833,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C52::M-HOLD-120,S1C52,M-HOLD-120,dual_axis_resin_modified,20.0,7.5,True,0.687917,1.0,0.045833,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C57::M-HOLD-120,S1C57,M-HOLD-120,dual_axis_resin_modified,22.5,7.5,True,0.687917,1.0,0.045833,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C62::M-HOLD-120,S1C62,M-HOLD-120,dual_axis_resin_modified,25.0,7.5,True,0.687917,1.0,0.045833,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C40::M-HOLD-120,S1C40,M-HOLD-120,dual_axis_resin_modified,15.0,2.5,True,0.682917,1.0,0.095833,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C45::M-HOLD-120,S1C45,M-HOLD-120,dual_axis_resin_modified,17.5,2.5,True,0.682917,1.0,0.095833,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C50::M-HOLD-120,S1C50,M-HOLD-120,dual_axis_resin_modified,20.0,2.5,True,0.682917,1.0,0.095833,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C55::M-HOLD-120,S1C55,M-HOLD-120,dual_axis_resin_modified,22.5,2.5,True,0.682917,1.0,0.095833,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C60::M-HOLD-120,S1C60,M-HOLD-120,dual_axis_resin_modified,25.0,2.5,True,0.682917,1.0,0.095833,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C36::M-HOLD-120,S1C36,M-HOLD-120,dual_axis_resin_modified,12.5,5.0,True,0.682083,1.0,0.104167,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C66::M-HOLD-120,S1C66,M-HOLD-120,dual_axis_resin_modified,27.5,5.0,True,0.682083,1.0,0.104167,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C37::M-HOLD-120,S1C37,M-HOLD-120,dual_axis_resin_modified,12.5,7.5,True,0.6775,1.0,0.15,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C43::M-HOLD-120,S1C43,M-HOLD-120,dual_axis_resin_modified,15.0,10.0,True,0.6775,1.0,0.15,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C48::M-HOLD-120,S1C48,M-HOLD-120,dual_axis_resin_modified,17.5,10.0,True,0.6775,1.0,0.15,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C53::M-HOLD-120,S1C53,M-HOLD-120,dual_axis_resin_modified,20.0,10.0,True,0.6775,1.0,0.15,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C58::M-HOLD-120,S1C58,M-HOLD-120,dual_axis_resin_modified,22.5,10.0,True,0.6775,1.0,0.15,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C63::M-HOLD-120,S1C63,M-HOLD-120,dual_axis_resin_modified,25.0,10.0,True,0.6775,1.0,0.15,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C67::M-HOLD-120,S1C67,M-HOLD-120,dual_axis_resin_modified,27.5,7.5,True,0.6775,1.0,0.15,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C35::M-HOLD-120,S1C35,M-HOLD-120,dual_axis_resin_modified,12.5,2.5,True,0.6725,1.0,0.2,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C65::M-HOLD-120,S1C65,M-HOLD-120,dual_axis_resin_modified,27.5,2.5,True,0.6725,1.0,0.2,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C31::M-HOLD-120,S1C31,M-HOLD-120,dual_axis_resin_modified,10.0,5.0,True,0.671667,1.0,0.208333,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C71::M-HOLD-120,S1C71,M-HOLD-120,dual_axis_resin_modified,30.0,5.0,True,0.671667,1.0,0.208333,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C32::M-HOLD-120,S1C32,M-HOLD-120,dual_axis_resin_modified,10.0,7.5,True,0.667083,1.0,0.254167,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C38::M-HOLD-120,S1C38,M-HOLD-120,dual_axis_resin_modified,12.5,10.0,True,0.667083,1.0,0.254167,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C30::M-HOLD-120,S1C30,M-HOLD-120,dual_axis_resin_modified,10.0,2.5,True,0.662083,1.0,0.304167,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C70::M-HOLD-120,S1C70,M-HOLD-120,dual_axis_resin_modified,30.0,2.5,True,0.662083,1.0,0.304167,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C33::M-HOLD-120,S1C33,M-HOLD-120,dual_axis_resin_modified,10.0,10.0,True,0.656667,1.0,0.358333,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C68::M-HOLD-120,S1C68,M-HOLD-120,dual_axis_resin_modified,27.5,10.0,True,0.654583,1.0,0.254167,0.666667,1.0,1.0,0.9,0.666667,True,False
S1C72::M-HOLD-120,S1C72,M-HOLD-120,dual_axis_resin_modified,30.0,7.5,True,0.654583,1.0,0.254167,0.666667,1.0,1.0,0.9,0.666667,True,False
S1C73::M-HOLD-120,S1C73,M-HOLD-120,dual_axis_resin_modified,30.0,10.0,True,0.644167,1.0,0.358333,0.666667,1.0,1.0,0.9,0.666667,True,False
S1C11::M-HOLD-120,S1C11,M-HOLD-120,minor_tackifier_only,0.0,5.0,True,0.6175,0.7,0.0,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C39::M-HOLD-120,S1C39,M-HOLD-120,acrylic_only,15.0,0.0,True,0.6175,0.7,0.0,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C44::M-HOLD-120,S1C44,M-HOLD-120,acrylic_only,17.5,0.0,True,0.6175,0.7,0.0,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C49::M-HOLD-120,S1C49,M-HOLD-120,acrylic_only,20.0,0.0,True,0.6175,0.7,0.0,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C54::M-HOLD-120,S1C54,M-HOLD-120,acrylic_only,22.5,0.0,True,0.6175,0.7,0.0,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C59::M-HOLD-120,S1C59,M-HOLD-120,acrylic_only,25.0,0.0,True,0.6175,0.7,0.0,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C12::M-HOLD-120,S1C12,M-HOLD-120,minor_tackifier_only,0.0,7.5,True,0.612917,0.7,0.045833,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C10::M-HOLD-120,S1C10,M-HOLD-120,minor_tackifier_only,0.0,2.5,True,0.607917,0.7,0.095833,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C34::M-HOLD-120,S1C34,M-HOLD-120,acrylic_only,12.5,0.0,True,0.607083,0.7,0.104167,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C64::M-HOLD-120,S1C64,M-HOLD-120,acrylic_only,27.5,0.0,True,0.607083,0.7,0.104167,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C13::M-HOLD-120,S1C13,M-HOLD-120,minor_tackifier_only,0.0,10.0,True,0.6025,0.7,0.15,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C29::M-HOLD-120,S1C29,M-HOLD-120,acrylic_only,10.0,0.0,True,0.596667,0.7,0.208333,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C69::M-HOLD-120,S1C69,M-HOLD-120,acrylic_only,30.0,0.0,True,0.596667,0.7,0.208333,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C24::M-HOLD-120,S1C24,M-HOLD-120,acrylic_only,7.5,0.0,True,0.58625,0.7,0.3125,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C26::M-HOLD-120,S1C26,M-HOLD-120,dual_axis_resin_modified,7.5,5.0,True,0.58625,0.7,0.3125,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C27::M-HOLD-120,S1C27,M-HOLD-120,dual_axis_resin_modified,7.5,7.5,True,0.581667,0.7,0.358333,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C25::M-HOLD-120,S1C25,M-HOLD-120,dual_axis_resin_modified,7.5,2.5,True,0.576667,0.7,0.408333,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C19::M-HOLD-120,S1C19,M-HOLD-120,acrylic_only,5.0,0.0,True,0.575833,0.7,0.416667,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C21::M-HOLD-120,S1C21,M-HOLD-120,dual_axis_resin_modified,5.0,5.0,True,0.575833,0.7,0.416667,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C22::M-HOLD-120,S1C22,M-HOLD-120,dual_axis_resin_modified,5.0,7.5,True,0.57125,0.7,0.4625,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C28::M-HOLD-120,S1C28,M-HOLD-120,dual_axis_resin_modified,7.5,10.0,True,0.57125,0.7,0.4625,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C20::M-HOLD-120,S1C20,M-HOLD-120,dual_axis_resin_modified,5.0,2.5,True,0.56625,0.7,0.5125,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C14::M-HOLD-120,S1C14,M-HOLD-120,acrylic_only,2.5,0.0,True,0.565417,0.7,0.520833,0.666667,1.0,0.75,0.9,0.666667,True,False
S1C16::M-HOLD-120,S1C16,M-HOLD-120,dual_axis_resin_modified,2.5,5.0,True,0.565417,0.7,0.520833,0.666667,1.0,0.75,0.9,0.666667,True,False
