arm,run,candidate_id,discrimination,family,measurement,supported,high_severity,robustness_change
full,1,S1C41,0.666667,dual_axis_resin_modified,M-HOLD-120,True,True,False
full,2,S1C41,0.666667,dual_axis_resin_modified,M-HOLD-120,True,True,False
full,3,S1C39,0.666667,acrylic_only,M-HOLD-120,False,True,True
full,4,S1C41,0.666667,dual_axis_resin_modified,M-HOLD-120,True,True,False
full,5,S1C41,0.666667,dual_axis_resin_modified,M-HOLD-120,True,True,False
full,6,S1C41,0.666667,dual_axis_resin_modified,M-HOLD-120,True,True,False
full,7,S1C41,0.666667,dual_axis_resin_modified,M-HOLD-120,True,True,False
full,8,S1C41,0.666667,dual_axis_resin_modified,M-HOLD-120,True,True,False
full,9,S1C41,0.666667,dual_axis_resin_modified,M-HOLD-120,True,True,False
full,10,S1C41,0.666667,dual_axis_resin_modified,M-HOLD-120,True,True,False
voi_withheld,1,S1C49,0.666667,acrylic_only,M-HOLD-120,False,True,True
voi_withheld,2,S1C05,0.0,reactive_core_only,M-HOLD-120,False,True,True
voi_withheld,3,S1C39,0.666667,acrylic_only,M-HOLD-120,False,True,False
voi_withheld,4,S1C01,0.0,reactive_core_only,M-HOLD-120,False,True,True
voi_withheld,5,S1C01,0.0,reactive_core_only,M-HOLD-120,False,True,True
order_inverted,1,S1C02,0.0,reactive_core_only,M-HOLD-120,False,True,True
order_inverted,2,S1C02,0.0,reactive_core_only,M-REPEAT,False,True,False
order_inverted,3,S1C02,0.0,reactive_core_only,M-HOLD-120,False,True,True
order_inverted,4,S1C02,0.0,reactive_core_only,M-HOLD-120,False,True,False
order_inverted,5,S1C02,0.0,reactive_core_only,M-HOLD-120,False,True,False
order_inverted,6,S1C02,0.0,reactive_core_only,M-HOLD-120,False,True,False
order_inverted,7,S1C02,0.0,reactive_core_only,M-HOLD-120,False,True,True
order_inverted,8,S1C02,0.0,reactive_core_only,M-REPEAT,False,True,False
order_inverted,9,S1C02,0.0,reactive_core_only,M-HOLD-120,False,True,True
order_inverted,10,S1C02,0.0,reactive_core_only,M-REPEAT,False,True,True
