I,J,R
1,1,1
1,2,0.50877
1,3,0.694579
1,4,0.504751
1,5,0.575365
1,6,0.758294
1,7,0.835319
1,8,-0.0396862
1,9,-0.0670454
1,10,0.0596835
1,11,-0.112149
1,12,-0.0539781
1,13,-0.0421527
1,14,-0.0584148
1,15,0.00442295
1,16,-0.0419945
1,17,-0.0287123
1,18,-0.416588
1,19,-0.0174627
1,20,-0.0768199
2,1,0.50877
2,2,1
2,3,0.482036
2,4,0.301514
2,5,0.36655
2,6,0.459111
2,7,0.506861
2,8,-0.0512761
2,9,0.00637479
2,10,-0.0376457
2,11,-0.0974909
2,12,-0.0487426
2,13,-0.0794345
2,14,-0.0876736
2,15,-0.00614106
2,16,-0.0183126
2,17,-0.0642696
2,18,-0.230324
2,19,0.0829315
2,20,-0.0362583
3,1,0.694579
3,2,0.482036
3,3,1
3,4,0.360341
3,5,0.527682
3,6,0.623671
3,7,0.693223
3,8,-0.0405518
3,9,-0.0543396
3,10,0.0299442
3,11,-0.109787
3,12,-0.00647507
3,13,-0.0155234
3,14,-0.0512498
3,15,0.0114508
3,16,-0.0424299
3,17,-0.0863301
3,18,-0.320283
3,19,0.00612234
3,20,-0.0188394
4,1,0.504751
4,2,0.301514
4,3,0.360341
4,4,1
4,5,0.397444
4,6,0.460732
4,7,0.473994
4,8,0.0273858
4,9,-0.0347917
4,10,0.0294685
4,11,0.00888595
4,12,0.050826
4,13,0.0431891
4,14,-0.00364795
4,15,0.273518
4,16,0.202923
4,17,-0.30078
4,18,0.0781566
4,19,0.286322
4,20,0.314619
5,1,0.575365
5,2,0.36655
5,3,0.527682
5,4,0.397444
5,5,1
5,6,0.528677
5,7,0.541463
5,8,-0.014229
5,9,-0.0595716
5,10,-0.00168673
5,11,-0.078479
5,12,-0.0696888
5,13,-0.02305
5,14,0.0187821
5,15,0.0105489
5,16,-0.0876573
5,17,0.0139735
5,18,-0.292284
5,19,-0.0162649
5,20,-0.0591835
6,1,0.758294
6,2,0.459111
6,3,0.623671
6,4,0.460732
6,5,0.528677
6,6,1
6,7,0.735248
6,8,-0.0576217
6,9,-0.0402192
6,10,0.0348334
6,11,-0.0951132
6,12,-0.086445
6,13,-0.0495208
6,14,-0.0535731
6,15,0.00346648
6,16,-0.0142592
6,17,-0.0227489
6,18,-0.389185
6,19,-0.0115485
6,20,-0.0490001
7,1,0.835319
7,2,0.506861
7,3,0.693223
7,4,0.473994
7,5,0.541463
7,6,0.735248
7,7,1
7,8,-0.0751514
7,9,-0.0571079
7,10,0.0232868
7,11,-0.113454
7,12,-0.0425443
7,13,-0.00933436
7,14,-0.0588855
7,15,-0.00550555
7,16,-0.0287942
7,17,-0.0117064
7,18,-0.432339
7,19,-0.0148798
7,20,-0.0923306
8,1,-0.0396862
8,2,-0.0512761
8,3,-0.0405518
8,4,0.0273858
8,5,-0.014229
8,6,-0.0576217
8,7,-0.0751514
8,8,1
8,9,0.604655
8,10,0.434545
8,11,0.767989
8,12,0.545023
8,13,0.574603
8,14,0.561462
8,15,0.0220062
8,16,-0.0753451
8,17,-0.0450558
8,18,0.0296682
8,19,0.0467501
8,20,-0.0712852
9,1,-0.0670454
9,2,0.00637479
9,3,-0.0543396
9,4,-0.0347917
9,5,-0.0595716
9,6,-0.0402192
9,7,-0.0571079
9,8,0.604655
9,9,1
9,10,0.357896
9,11,0.62679
9,12,0.442562
9,13,0.46813
9,14,0.380409
9,15,0.0184561
9,16,-0.0580195
9,17,-0.0106173
9,18,0.0401221
9,19,0.0526705
9,20,-0.023709
10,1,0.0596835
10,2,-0.0376457
10,3,0.0299442
10,4,0.0294685
10,5,-0.00168673
10,6,0.0348334
10,7,0.0232868
10,8,0.434545
10,9,0.357896
10,10,1
10,11,0.465597
10,12,0.378642
10,13,0.370079
10,14,0.336418
10,15,-0.0550302
10,16,-0.0468892
10,17,0.0362073
10,18,-0.066638
10,19,-0.0453834
10,20,-0.0752082
11,1,-0.112149
11,2,-0.0974909
11,3,-0.109787
11,4,0.00888595
11,5,-0.078479
11,6,-0.0951132
11,7,-0.113454
11,8,0.767989
11,9,0.62679
11,10,0.465597
11,11,1
11,12,0.579205
11,13,0.564824
11,14,0.545009
11,15,0.0240678
11,16,-0.0726126
11,17,0.00425704
11,18,0.0404027
11,19,0.0305497
11,20,-0.0579442
12,1,-0.0539781
12,2,-0.0487426
12,3,-0.00647507
12,4,0.050826
12,5,-0.0696888
12,6,-0.086445
12,7,-0.0425443
12,8,0.545023
12,9,0.442562
12,10,0.378642
12,11,0.579205
12,12,1
12,13,0.432058
12,14,0.363474
12,15,0.0397064
12,16,-0.0611
12,17,-0.00555822
12,18,0.0219666
12,19,0.0394311
12,20,-0.0175687
13,1,-0.0421527
13,2,-0.0794345
13,3,-0.0155234
13,4,0.0431891
13,5,-0.02305
13,6,-0.0495208
13,7,-0.00933436
13,8,0.574603
13,9,0.46813
13,10,0.370079
13,11,0.564824
13,12,0.432058
13,13,1
13,14,0.387626
13,15,0.00523116
13,16,-0.0720941
13,17,-0.00950065
13,18,0.0453675
13,19,0.0390252
13,20,-0.0150002
14,1,-0.0584148
14,2,-0.0876736
14,3,-0.0512498
14,4,-0.00364795
14,5,0.0187821
14,6,-0.0535731
14,7,-0.0588855
14,8,0.561462
14,9,0.380409
14,10,0.336418
14,11,0.545009
14,12,0.363474
14,13,0.387626
14,14,1
14,15,0.0356141
14,16,-0.0352034
14,17,-0.0245926
14,18,0.0272099
14,19,0.0223654
14,20,-0.0763291
15,1,0.00442295
15,2,-0.00614106
15,3,0.0114508
15,4,0.273518
15,5,0.0105489
15,6,0.00346648
15,7,-0.00550555
15,8,0.0220062
15,9,0.0184561
15,10,-0.0550302
15,11,0.0240678
15,12,0.0397064
15,13,0.00523116
15,14,0.0356141
15,15,1
15,16,0.421378
15,17,-0.469535
15,18,0.548424
15,19,0.471077
15,20,0.562693
16,1,-0.0419945
16,2,-0.0183126
16,3,-0.0424299
16,4,0.202923
16,5,-0.0876573
16,6,-0.0142592
16,7,-0.0287942
16,8,-0.0753451
16,9,-0.0580195
16,10,-0.0468892
16,11,-0.0726126
16,12,-0.0611
16,13,-0.0720941
16,14,-0.0352034
16,15,0.421378
16,16,1
16,17,-0.386645
16,18,0.531267
16,19,0.468088
16,20,0.573277
17,1,-0.0287123
17,2,-0.0642696
17,3,-0.0863301
17,4,-0.30078
17,5,0.0139735
17,6,-0.0227489
17,7,-0.0117064
17,8,-0.0450558
17,9,-0.0106173
17,10,0.0362073
17,11,0.00425704
17,12,-0.00555822
17,13,-0.00950065
17,14,-0.0245926
17,15,-0.469535
17,16,-0.386645
17,17,1
17,18,-0.499232
17,19,-0.435495
17,20,-0.550568
18,1,-0.416588
18,2,-0.230324
18,3,-0.320283
18,4,0.0781566
18,5,-0.292284
18,6,-0.389185
18,7,-0.432339
18,8,0.0296682
18,9,0.0401221
18,10,-0.066638
18,11,0.0404027
18,12,0.0219666
18,13,0.0453675
18,14,0.0272099
18,15,0.548424
18,16,0.531267
18,17,-0.499232
18,18,1
18,19,0.591065
18,20,0.71789
19,1,-0.0174627
19,2,0.0829315
19,3,0.00612234
19,4,0.286322
19,5,-0.0162649
19,6,-0.0115485
19,7,-0.0148798
19,8,0.0467501
19,9,0.0526705
19,10,-0.0453834
19,11,0.0305497
19,12,0.0394311
19,13,0.0390252
19,14,0.0223654
19,15,0.471077
19,16,0.468088
19,17,-0.435495
19,18,0.591065
19,19,1
19,20,0.64279
20,1,-0.0768199
20,2,-0.0362583
20,3,-0.0188394
20,4,0.314619
20,5,-0.0591835
20,6,-0.0490001
20,7,-0.0923306
20,8,-0.0712852
20,9,-0.023709
20,10,-0.0752082
20,11,-0.0579442
20,12,-0.0175687
20,13,-0.0150002
20,14,-0.0763291
20,15,0.562693
20,16,0.573277
20,17,-0.550568
20,18,0.71789
20,19,0.64279
20,20,1
