HS content,H-bond idx,Crystallinity,Tg,Tm,Open time,Modulus,Melt visc.,Tack force,Shear str.,Peel str.,NCO/OH,MDI frac.,BDO frac.,Polyol Mn,Cat. load.,Water ppm,Free NCO,Density,Gel frac.
1.0000,0.5088,0.6946,0.5048,0.5754,0.7583,0.8353,-0.0397,-0.0670,0.0597,-0.1121,-0.0540,-0.0422,-0.0584,0.0044,-0.0420,-0.0287,-0.4166,-0.0175,-0.0768
0.5088,1.0000,0.4820,0.3015,0.3665,0.4591,0.5069,-0.0513,0.0064,-0.0376,-0.0975,-0.0487,-0.0794,-0.0877,-0.0061,-0.0183,-0.0643,-0.2303,0.0829,-0.0363
0.6946,0.4820,1.0000,0.3603,0.5277,0.6237,0.6932,-0.0406,-0.0543,0.0299,-0.1098,-0.0065,-0.0155,-0.0512,0.0115,-0.0424,-0.0863,-0.3203,0.0061,-0.0188
0.5048,0.3015,0.3603,1.0000,0.3974,0.4607,0.4740,0.0274,-0.0348,0.0295,0.0089,0.0508,0.0432,-0.0036,0.2735,0.2029,-0.3008,0.0782,0.2863,0.3146
0.5754,0.3665,0.5277,0.3974,1.0000,0.5287,0.5415,-0.0142,-0.0596,-0.0017,-0.0785,-0.0697,-0.0231,0.0188,0.0105,-0.0877,0.0140,-0.2923,-0.0163,-0.0592
0.7583,0.4591,0.6237,0.4607,0.5287,1.0000,0.7352,-0.0576,-0.0402,0.0348,-0.0951,-0.0864,-0.0495,-0.0536,0.0035,-0.0143,-0.0227,-0.3892,-0.0115,-0.0490
0.8353,0.5069,0.6932,0.4740,0.5415,0.7352,1.0000,-0.0752,-0.0571,0.0233,-0.1135,-0.0425,-0.0093,-0.0589,-0.0055,-0.0288,-0.0117,-0.4323,-0.0149,-0.0923
-0.0397,-0.0513,-0.0406,0.0274,-0.0142,-0.0576,-0.0752,1.0000,0.6047,0.4345,0.7680,0.5450,0.5746,0.5615,0.0220,-0.0753,-0.0451,0.0297,0.0468,-0.0713
-0.0670,0.0064,-0.0543,-0.0348,-0.0596,-0.0402,-0.0571,0.6047,1.0000,0.3579,0.6268,0.4426,0.4681,0.3804,0.0185,-0.0580,-0.0106,0.0401,0.0527,-0.0237
0.0597,-0.0376,0.0299,0.0295,-0.0017,0.0348,0.0233,0.4345,0.3579,1.0000,0.4656,0.3786,0.3701,0.3364,-0.0550,-0.0469,0.0362,-0.0666,-0.0454,-0.0752
-0.1121,-0.0975,-0.1098,0.0089,-0.0785,-0.0951,-0.1135,0.7680,0.6268,0.4656,1.0000,0.5792,0.5648,0.5450,0.0241,-0.0726,0.0043,0.0404,0.0305,-0.0579
-0.0540,-0.0487,-0.0065,0.0508,-0.0697,-0.0864,-0.0425,0.5450,0.4426,0.3786,0.5792,1.0000,0.4321,0.3635,0.0397,-0.0611,-0.0056,0.0220,0.0394,-0.0176
-0.0422,-0.0794,-0.0155,0.0432,-0.0231,-0.0495,-0.0093,0.5746,0.4681,0.3701,0.5648,0.4321,1.0000,0.3876,0.0052,-0.0721,-0.0095,0.0454,0.0390,-0.0150
-0.0584,-0.0877,-0.0512,-0.0036,0.0188,-0.0536,-0.0589,0.5615,0.3804,0.3364,0.5450,0.3635,0.3876,1.0000,0.0356,-0.0352,-0.0246,0.0272,0.0224,-0.0763
0.0044,-0.0061,0.0115,0.2735,0.0105,0.0035,-0.0055,0.0220,0.0185,-0.0550,0.0241,0.0397,0.0052,0.0356,1.0000,0.4214,-0.4695,0.5484,0.4711,0.5627
-0.0420,-0.0183,-0.0424,0.2029,-0.0877,-0.0143,-0.0288,-0.0753,-0.0580,-0.0469,-0.0726,-0.0611,-0.0721,-0.0352,0.4214,1.0000,-0.3866,0.5313,0.4681,0.5733
-0.0287,-0.0643,-0.0863,-0.3008,0.0140,-0.0227,-0.0117,-0.0451,-0.0106,0.0362,0.0043,-0.0056,-0.0095,-0.0246,-0.4695,-0.3866,1.0000,-0.4992,-0.4355,-0.5506
-0.4166,-0.2303,-0.3203,0.0782,-0.2923,-0.3892,-0.4323,0.0297,0.0401,-0.0666,0.0404,0.0220,0.0454,0.0272,0.5484,0.5313,-0.4992,1.0000,0.5911,0.7179
-0.0175,0.0829,0.0061,0.2863,-0.0163,-0.0115,-0.0149,0.0468,0.0527,-0.0454,0.0305,0.0394,0.0390,0.0224,0.4711,0.4681,-0.4355,0.5911,1.0000,0.6428
-0.0768,-0.0363,-0.0188,0.3146,-0.0592,-0.0490,-0.0923,-0.0713,-0.0237,-0.0752,-0.0579,-0.0176,-0.0150,-0.0763,0.5627,0.5733,-0.5506,0.7179,0.6428,1.0000
