P1,M1,B1,P2,M2,B2,P3,M3,B3,P4,M4,B4,P5,M5,B5,P6,M6,B6,P7,M7,B7,P8,M8,B8
79.4139,5.27495,15.3112,71.8385,18.4762,9.68527,65.4253,34.1462,0.4285,57.8395,35.1777,6.98276,49.3273,24.7099,25.9628,40.5542,21.8274,37.6183,28.2221,17.9851,53.7927,4.31077,62.1483,33.5409
81.6087,16.8648,1.52648,73.2156,20.6169,6.16748,66.7289,7.41941,25.8516,43.6295,5.03583,51.3347,50.2605,32.3834,17.3561,36.7947,17.7829,45.4224,30.0289,31.585,38.3861,17.4479,35.1376,47.4145
90.0482,9.42639,0.525434,71.372,20.4834,8.14457,62.4304,11.728,25.8416,59.553,25.3693,15.0777,49.0295,37.8221,13.1485,43.7602,29.8758,26.364,36.18,42.0633,21.7567,9.52876,85.6173,4.85395
88.8322,10.335,0.832804,70.214,18.0967,11.6893,66.3046,27.4382,6.25722,55.7951,42.7807,1.42413,46.0034,14.3211,39.6756,45.809,30.6171,23.5739,30.822,35.8077,33.3703,11.7452,35.2251,53.0297
79.592,16.4855,3.92249,73.9112,5.35586,20.733,67.5272,25.3275,7.14536,56.9472,15.3623,27.6904,55.0599,30.6726,14.2675,26.3026,6.02422,67.6732,31.7858,53.5698,14.6444,18.761,75.3566,5.88233
74.5995,7.8134,17.5871,73.0858,17.512,9.40224,65.6278,13.7356,20.6366,53.925,27.2455,18.8294,49.2164,28.8171,21.9664,38.2745,28.8015,32.924,33.2927,40.6435,26.0638,24.8493,68.6396,6.51116
85.7424,12.2743,1.98325,69.5957,7.82699,22.5773,71.6007,25.3596,3.03966,64.0828,30.6604,5.25683,46.7088,15.4119,37.8794,45.1212,53.751,1.12781,29.0129,36.2883,34.6988,15.3069,78.1893,6.50379
73.2663,3.05333,23.6804,66.188,4.06894,29.7431,62.6937,6.11426,31.192,52.8406,43.4468,3.71254,47.069,41.2963,11.6347,41.1667,40.2671,18.5661,30.7447,61.3722,7.88313,22.3603,27.7309,49.9088
87.1964,10.9649,1.83872,70.5664,26.075,3.35852,57.5878,3.32098,39.0913,59.9965,17.9628,22.0407,47.7193,28.4053,23.8754,34.2908,26.0452,39.6641,37.5506,34.0417,28.4077,21.6527,34.5494,43.7979
79.1095,17.035,3.85553,78.5499,7.42705,14.023,64.2849,14.9817,20.7334,58.0023,27.8711,14.1266,53.1783,15.961,30.8607,24.447,3.64557,71.9074,22.9304,75.9794,1.09019,21.493,29.4753,49.0316
76.3403,17.9757,5.68393,68.5098,14.8405,16.6497,61.257,6.7027,32.0403,55.1066,34.6225,10.2709,43.1447,30.7107,26.1446,43.6328,36.6063,19.7608,26.2877,17.5548,56.1575,25.2187,45.7754,29.0058
90.6094,5.79887,3.59177,69.1045,10.7381,20.1575,54.8946,2.07427,43.0311,48.9022,4.80869,46.2891,50.5576,32.6519,16.7905,43.2998,14.3328,42.3674,37.63,40.48,21.89,17.7822,67.2596,14.9583
74.6982,19.6177,5.68407,70.4098,5.0092,24.581,64.0671,33.6922,2.24074,58.548,33.2757,8.17633,48.7321,23.2111,28.0568,39.0447,25.4153,35.54,28.8082,70.4505,0.741392,23.4665,35.8969,40.6366
80.528,10.0452,9.42682,69.6267,23.5113,6.86203,68.298,28.1619,3.54004,48.4756,7.29088,44.2335,56.0707,27.0136,16.9156,41.0908,33.7834,25.1259,16.7626,10.989,72.2484,22.0864,57.2555,20.6581
73.5024,11.5138,14.9838,74.2752,4.10786,21.6169,63.1685,5.74061,31.0909,52.1789,43.9682,3.85289,47.9772,33.1806,18.8422,47.3238,30.9362,21.74,29.8483,46.2706,23.881,22.6081,67.6916,9.70034
74.6695,24.7815,0.548952,80.5443,11.8947,7.56098,64.4062,13.9807,21.6131,60.0255,31.982,7.99248,42.1503,11.5137,46.3361,32.6384,17.562,49.7996,31.5517,30.4067,38.0416,23.7223,56.1423,20.1354
82.0324,6.94449,11.0231,71.208,15.137,13.655,69.2432,25.4928,5.26397,46.8779,7.62748,45.4947,38.8256,4.09539,57.079,41.5505,27.8979,30.5516,32.5846,62.4672,4.94816,17.8262,65.9225,16.2513
80.8232,8.12001,11.0568,75.7545,14.1914,10.0542,60.9248,31.898,7.17719,62.3125,25.2945,12.393,46.9541,51.5566,1.48936,39.3229,57.1105,3.56664,33.5163,52.0721,14.4116,22.3507,72.4435,5.20578
76.4543,2.98828,20.5574,70.231,9.46021,20.3088,67.418,25.2591,7.3229,60.5513,28.5287,10.92,40.7414,8.79611,50.4625,46.9315,16.9738,36.0947,29.4113,69.3708,1.21794,25.4331,61.2806,13.2862
77.2122,9.40014,13.3876,77.733,20.9833,1.28378,55.8214,2.12686,42.0518,55.3642,10.696,33.9398,48.743,38.9986,12.2585,46.6726,26.3134,27.014,28.5039,40.7997,30.6964,20.2257,53.3346,26.4397
82.7091,10.799,6.49188,72.0622,27.6263,0.311547,64.8731,33.8804,1.24659,58.7732,25.4543,15.7725,41.0136,12.3085,46.6778,44.1591,29.4837,26.3572,29.5564,35.3245,35.1191,7.74167,55.5791,36.6792
82.0953,12.3358,5.56891,74.563,13.5346,11.9024,62.0175,34.514,3.46848,51.4924,14.008,34.4995,49.6392,37.8544,12.5064,44.3444,35.0282,20.6274,28.7986,39.4518,31.7496,5.62188,18.4318,75.9463
81.5629,16.7683,1.66886,75.5619,20.8633,3.57484,62.8175,34.7506,2.43197,58.2517,27.6052,14.1431,44.6994,52.74,2.56067,48.849,37.9946,13.1565,37.303,32.9931,29.7039,16.5254,83.0121,0.462506
82.0894,0.427266,17.4833,73.3806,16.8312,9.78815,67.6545,30.0447,2.30085,59.6479,26.0259,14.3262,50.564,43.4886,5.94743,35.8203,18.7817,45.398,30.1874,64.272,5.54066,11.0074,86.374,2.61868
82.7957,10.2856,6.91862,69.6639,22.2913,8.04487,65.2068,15.6753,19.1178,55.5276,22.2304,22.242,43.5647,15.7148,40.7206,43.1912,37.7712,19.0376,28.5121,40.813,30.6749,13.2179,67.1207,19.6614
85.8712,0.997908,13.1309,66.7854,31.5258,1.68872,69.1851,19.0436,11.7714,67.3158,26.877,5.80717,52.7374,43.4713,3.79133,43.0826,31.5274,25.39,35.7911,57.1634,7.0455,22.6311,54.813,22.5559
88.6161,8.7803,2.60362,70.3838,15.4187,14.1975,65.6329,31.5843,2.78274,54.7341,45.0926,0.173298,53.6398,36.8911,9.46906,39.2079,32.0091,28.783,31.112,43.6976,25.1903,24.9622,43.233,31.8048
80.8129,6.28244,12.9047,69.7032,11.3994,18.8974,65.4107,23.9252,10.6641,60.1267,18.1323,21.7411,51.3887,32.2665,16.3448,40.796,23.5075,35.6965,32.0312,54.2944,13.6744,20.5075,66.6219,12.8706
88.3467,7.20612,4.44718,66.4,12.9881,20.6119,67.6474,10.8614,21.4912,62.9982,18.0033,18.9985,48.3351,28.4337,23.2312,40.0686,59.4685,0.462889,28.7905,18.0512,53.1584,25.235,46.3653,28.3996
84.8713,12.8592,2.26955,69.7194,3.62559,26.655,65.4684,20.2483,14.2833,54.8686,44.1691,0.962336,29.8068,4.21048,65.9827,37.561,29.3801,33.0588,28.901,33.9981,37.1009,11.9273,64.6729,23.3999
75.6418,1.69918,22.659,75.1309,20.2949,4.57426,67.5015,19.7245,12.774,52.4664,5.17541,42.3582,50.0876,28.1637,21.7486,42.0849,36.2612,21.6539,24.9534,19.2489,55.7977,16.8977,31.4796,51.6227
95.224,3.16115,1.61484,71.4696,28.1672,0.363208,67.1003,22.4918,10.4078,53.51,8.90813,37.5819,49.9038,34.7461,15.3502,43.0979,51.747,5.15505,25.5559,57.6462,16.798,25.053,40.9371,34.0099
82.1997,3.19229,14.6081,72.1735,25.0476,2.77891,66.1758,14.1598,19.6644,58.935,34.8743,6.19063,49.5201,28.7989,21.6809,40.1418,45.1524,14.7058,24.036,6.74279,69.2212,9.36327,76.7705,13.8663
82.0933,11.587,6.31977,71.1961,7.73028,21.0736,59.2024,3.82417,36.9734,53.0048,46.2735,0.721681,53.4239,37.7986,8.77752,47.256,29.9451,22.7989,27.8722,25.8259,46.302,18.863,67.4736,13.6634
79.6242,13.5729,6.8029,69.6175,26.4525,3.92992,65.402,16.5255,18.0725,59.7517,19.1414,21.1068,52.1261,21.2537,26.6202,37.0286,46.4941,16.4773,31.7863,63.9536,4.26012,5.66125,63.9689,30.3699
