G01,G02,G03,G04,G05,G06,G07,G08,G09,G10
0.565836,0.691562,0.831043,0.746667,0.904889,1.57213,1.67465,1.76331,1.15052,1.32849
0.423797,0.760487,0.69815,0.699936,0.924699,1.58745,1.82601,1.28702,1.18903,1.85442
0.549568,0.715756,0.788801,0.738849,1.04803,1.3228,1.50837,1.59601,1.14173,1.24428
0.635159,0.560729,0.712961,0.70464,0.855414,1.03846,1.69426,1.83024,1.80387,1.70489
0.49088,0.545917,0.713728,0.995266,1.05947,1.04088,1.03702,1.52127,1.04672,1.28869
0.812449,0.729087,0.968439,0.699418,0.764113,1.12366,1.01862,1.76469,1.78057,1.83028
0.739149,0.58068,0.668669,0.74473,0.940202,1.08974,1.79615,1.78262,1.24849,1.20788
0.459247,0.740395,0.646817,0.895749,0.806108,1.05827,1.05534,1.28779,2.00646,1.0971
0.612458,0.650533,0.715325,0.790296,0.954492,1.47352,1.06527,1.13623,1.72448,2.00601
0.79191,0.625767,0.859813,0.715296,0.831804,1.11067,1.06032,1.19299,1.67426,1.8521
0.611579,0.579356,0.731253,0.785343,0.900328,1.44284,1.15288,1.16037,1.71811,1.12822
0.551368,0.649392,0.819963,0.768529,0.911623,0.96019,1.06089,1.52093,1.30558,1.33999
0.703652,0.725259,0.889324,0.715934,0.973971,1.71096,1.53592,1.73439,1.87772,1.09355
0.518869,0.968998,0.781293,0.776254,0.928197,1.51963,1.18881,1.15995,1.24358,1.15276
0.611777,0.508232,0.860728,0.802679,0.90354,0.930829,1.08309,1.83954,1.76478,1.94225
0.665175,0.719825,0.628681,0.875792,1.01709,1.42638,1.00267,1.12143,1.11834,1.16707
0.640329,0.579242,0.789898,0.734033,0.881623,1.52086,1.74837,1.7705,1.1501,1.87686
0.538116,0.747146,0.738222,0.938603,0.900698,1.5721,1.10826,1.7178,1.13898,1.94517
0.395479,0.56585,0.696908,0.651963,0.942397,1.00301,1.02107,1.00257,1.20673,1.86726
0.55964,0.738449,0.777942,0.71145,0.961029,0.946425,1.13754,1.16077,1.54459,1.12595
0.510698,0.49605,0.730031,0.840107,0.822649,1.70955,0.913433,1.27474,1.28766,1.74549
0.684503,0.482178,0.718254,0.780655,0.849993,1.24296,1.07649,1.73023,1.80658,1.77806
0.577766,0.644479,0.704634,0.699161,0.698552,1.16164,1.68668,1.67175,1.93803,1.29489
0.679229,0.73985,0.526568,0.84565,0.889994,1.48723,1.92077,1.12228,1.23746,1.93645
0.543455,0.569645,0.721472,0.556468,0.910336,1.6904,0.936935,1.71755,1.16162,1.21719
0.423911,0.650998,0.686251,0.832582,0.794203,0.822371,1.65765,1.64025,1.13705,1.67395
0.685399,0.69561,0.636287,0.733432,0.856399,0.955812,1.00271,1.0785,1.26988,1.35203
0.653781,0.815541,0.604952,0.866776,0.828354,1.0025,0.979318,1.04397,1.22209,1.80137
0.481621,0.564587,0.646875,0.723767,0.761129,0.966419,1.12971,1.24701,1.08603,1.27295
0.643986,0.743634,0.633852,0.661156,0.954463,1.62096,1.08774,1.16274,1.25682,1.5319
0.705102,0.642769,0.9452,0.837212,1.02295,1.69237,1.00906,1.03605,1.81212,1.92043
0.448925,0.82895,0.676259,0.9709,0.877927,1.29498,1.04018,1.10897,1.8815,1.99871
0.494357,0.675491,0.754376,0.866384,0.832957,1.67392,1.74493,1.17431,1.14458,1.22907
0.634059,0.758086,0.555496,0.634555,0.878682,1.14568,1.12087,1.1143,1.2485,1.3753
0.482738,0.741437,0.833485,0.864365,0.594109,1.59761,1.24393,1.05934,0.992108,1.08334
0.580742,0.681505,0.721032,0.631027,0.683136,0.911166,1.06582,1.62235,1.86858,1.06417
0.585099,0.76989,0.908445,0.793504,0.88791,1.19569,1.52501,1.56657,1.17852,1.9351
0.548364,0.822846,0.813784,0.687578,0.869466,1.60029,1.12217,1.17158,1.82281,1.18373
0.465797,0.729564,0.804252,0.622143,0.768144,0.899379,1.03929,1.05674,1.84526,1.87891
0.758585,0.670112,0.692304,0.710184,0.793665,0.941842,0.92848,1.15362,1.00904,1.23299
0.671539,0.634047,0.647845,0.763174,0.779515,1.14179,1.13671,1.12776,1.75604,1.11466
0.699288,0.83815,0.732338,0.901316,0.862806,1.72173,1.17088,1.65094,1.20811,1.64645
0.625553,0.68162,0.757604,0.783998,0.813501,1.59786,1.59353,0.944998,1.09746,2.14259
0.70538,0.728115,0.861672,0.832746,0.661298,1.03616,0.986196,1.66853,1.16335,1.37965
0.704408,0.644561,0.672725,0.774255,0.887555,1.5482,1.55027,1.08467,1.07509,1.25887
0.595158,0.600487,0.784014,0.672549,0.897128,1.17528,0.962109,1.26753,1.93449,1.32712
0.621725,0.783035,0.695937,0.758572,1.02291,1.34523,1.83597,0.950742,1.20715,1.30651
0.777738,0.488038,0.6408,0.669961,0.842713,1.57409,1.01063,1.31345,1.10779,1.08863
0.469547,0.645555,0.738342,0.908802,0.792172,1.55909,1.75678,1.02646,1.50353,1.87535
0.611518,0.684757,0.750743,0.709558,0.820955,1.46948,1.07608,1.75284,1.10201,1.67945
0.625117,0.778756,0.648903,0.839811,0.743793,1.44689,1.64414,1.71738,1.64781,1.20228
0.640556,0.893572,0.74582,0.79648,0.862693,1.49782,1.12651,1.25416,1.63272,1.30555
0.659104,0.763845,0.665393,0.632722,0.875103,1.657,1.01,0.972802,1.75279,1.8921
0.612619,0.624345,0.804291,0.808022,0.800064,1.13198,1.14561,1.10682,1.14877,1.9161
0.710905,0.718024,0.705699,0.995219,0.76465,0.912095,1.83358,1.02984,1.8555,1.27013
0.467297,0.714775,0.794437,0.699899,0.805023,1.71197,1.73922,1.8159,1.12556,1.17161
0.581141,0.550265,0.85813,0.661083,0.733397,1.65313,1.25061,1.87353,1.28477,2.03488
0.506133,0.729577,0.53618,0.926973,0.799722,0.963317,1.68199,1.68465,1.23233,1.19147
0.466946,0.481032,0.687462,0.868507,0.863648,1.46394,0.942962,1.57056,1.11111,1.78976
0.629311,0.708504,0.608226,0.666819,0.809822,1.51828,1.02803,1.1676,1.93001,1.71336
0.493844,0.794464,0.749178,0.896284,0.786508,0.97965,1.7159,1.7339,1.89659,1.19127
0.46766,0.725042,0.57936,0.833557,0.812183,1.01227,1.46782,1.28705,1.30205,1.6987
0.517501,0.773148,0.853385,0.802965,0.753138,1.02733,1.05968,1.71292,1.2412,1.32749
0.593991,0.625392,0.737425,0.756008,0.873709,0.954653,1.18653,1.72577,1.64086,1.78979
0.568305,0.797832,0.726726,1.03145,1.04667,1.00765,1.58727,1.61515,1.09886,1.15923
0.578805,0.776033,0.763858,0.721374,0.746615,1.82412,1.71461,0.947343,1.23869,1.86996
0.631184,0.690082,0.845841,0.836956,0.828502,1.15705,1.91997,1.12795,1.09722,1.25701
0.751101,0.603474,0.551546,0.794875,0.797225,1.02622,1.01581,1.11179,1.16287,1.40525
0.679882,0.854459,0.681579,0.702441,0.828204,1.15752,1.62656,1.13144,1.93271,1.77949
0.725643,0.803644,0.676001,0.659041,0.83048,0.892936,1.0521,1.2391,1.16087,1.24181
0.671914,0.634937,0.719587,0.736928,0.903403,1.77267,1.24627,1.76623,1.81643,1.74401
0.754335,0.717082,0.768987,0.885033,0.629595,1.49771,1.06801,1.63988,1.10496,1.20728
0.67532,0.670494,0.799661,0.778731,0.942794,1.35845,1.49819,1.07771,1.12636,1.91499
0.57357,0.779787,0.788941,0.919233,0.845067,0.960603,1.11643,1.70446,1.19897,1.63067
0.491438,0.786398,0.640047,1.04449,0.886327,0.908425,0.921012,1.10454,1.72141,1.20249
0.521592,0.620922,0.684407,0.712147,0.936958,0.954794,1.09149,0.958089,1.76945,1.77176
0.721633,0.61907,0.676182,0.793038,0.817088,1.09274,1.05527,1.00146,1.25568,1.84807
0.517707,0.769834,0.65415,0.839368,0.875798,1.69657,1.51025,1.07771,1.27626,1.31676
0.576711,0.709963,0.633359,0.663251,0.667944,1.533,1.69773,1.1479,1.12083,1.71118
