Time,lo1,hi1,m1,lo2,hi2,m2,lo3,hi3,m3,lo4,hi4,m4,lo5,hi5,m5,lo6,hi6,m6
0,-1.568,1.568,0,-1.568,1.568,0,-1.568,1.568,0,-1.568,1.568,0,-1.568,1.568,0,-1.568,1.568,0
3,-0.829209,2.39034,0.780565,-0.365786,2.90553,1.26987,0.383597,3.73757,2.06058,1.58857,5.07274,3.33065,3.50963,7.19452,5.35207,6.53307,10.5168,8.52495
6,0.0906121,3.41242,1.75152,1.11843,4.5522,2.83532,2.76244,6.37026,4.56635,5.36269,9.23321,7.29795,9.40599,13.6547,11.5303,15.5331,20.2854,17.9092
9,1.08397,4.51403,2.799,2.70756,6.30967,4.50861,5.27644,9.1385,7.20747,9.2732,13.51,11.3916,15.3349,20.0722,17.7035,24.1782,29.5016,26.8399
12,2.12224,5.66302,3.89263,4.35428,8.12475,6.23952,7.84778,11.9551,9.90142,13.1944,17.7643,15.4793,21.103,26.2417,23.6724,32.2091,37.9201,35.0646
15,3.19067,6.84281,5.01674,6.0343,9.97019,8.00225,10.437,14.7763,12.6067,17.0652,21.9305,19.4978,26.6265,32.0824,29.3544,39.5489,45.4968,42.5229
18,4.28007,8.04308,6.16157,7.73261,11.8292,9.78092,13.0204,17.5762,15.2983,20.8508,25.9735,23.4121,31.8657,37.563,34.7143,46.1915,52.2594,49.2255
21,5.38412,9.25674,7.32043,9.43898,13.6906,11.5648,15.5823,20.3383,17.9603,24.5303,29.8736,27.2019,36.804,42.6762,39.7401,52.1635,58.264,55.2137
24,6.49819,10.4786,8.48841,11.1461,15.5462,13.3461,18.1117,23.0512,20.5815,28.0909,33.6201,30.8555,41.4371,47.4282,44.4326,57.5068,63.5772,60.542
27,7.61875,11.7048,9.66178,12.8483,17.3901,15.1192,20.6009,25.7075,23.1542,31.5249,37.2081,34.3665,45.7689,51.8317,48.8003,62.2701,68.2672,65.2687
30,8.74302,12.9322,10.8376,14.5415,19.2179,16.8797,23.0444,28.302,25.6732,34.828,40.6363,37.7321,49.8079,55.9039,52.8559,66.5043,72.4001,69.4522
33,9.86874,14.1584,12.0135,16.2222,21.0259,18.6241,25.4379,30.8311,28.1345,37.9986,43.9057,40.9521,53.5655,59.6634,56.6144,70.2597,76.0374,73.1485
36,10.9941,15.3812,13.1877,17.8878,22.8117,20.3498,27.7787,33.2926,30.5357,41.0366,47.0191,44.0278,57.0549,63.13,60.0924,73.5841,79.2353,76.4097
39,12.1174,16.5992,14.3583,19.5362,24.573,22.0546,30.0646,35.6853,32.8749,43.9433,49.9804,46.9618,60.2903,66.3231,63.3067,76.5224,82.045,79.2837
42,13.2376,17.8109,15.5243,21.1656,26.3082,23.7369,32.2941,38.0086,35.1514,46.7208,52.7944,49.7576,63.2862,69.2621,66.2742,79.1162,84.5121,81.8142
45,14.3534,19.0152,16.6843,22.7746,28.0162,25.3954,34.4666,40.2623,37.3644,49.3721,55.4661,52.4191,66.0573,71.9654,69.0113,81.4034,86.6775,84.0405
48,15.464,20.211,17.8375,24.3621,29.6958,27.0289,36.5814,42.4469,39.5142,51.9005,58.001,54.9508,68.6179,74.4505,71.5342,83.4184,88.5773,85.9978
