HS_content,H_bond_index,Crystallinity,Tg,Open_time,Modulus,Melt_viscosity
0.375496,0.454604,0.375619,0.504867,0.40908,0.426081,0.304022
0.243041,0.603642,0.456503,0.424745,0.628302,0.334934,0.459781
0.806422,0.750368,0.718961,0.658002,0.22599,0.446343,0.610045
0.386013,0.440472,0,0.164094,0.666242,0.0425344,0.26673
0.624798,0.98155,0.488673,0.569108,0.444471,0.372007,0.50352
0.65688,0.747473,0.55174,0.576038,0.267596,0.334894,0.471196
0.357756,0.386612,0.353982,0.434882,0.571021,0.337736,0.329284
0.198948,0.228837,0.477424,0.284621,0.743451,0.278659,0.375995
0.561462,0.645339,0.435725,0.415035,0.379041,0.740588,0.353002
0.233019,0.335521,0.488646,0.47463,0.446431,0.282179,0.430356
0.894218,0.978002,0.750475,1,0.166651,0.930623,0.982304
0.308506,0.475655,0.10535,0.585842,0.616028,0.493739,0.431849
0.337156,0.00155693,0.370139,0.302113,0.991115,0.140536,0.270578
0.217932,0.323701,0.304548,0.511125,0.566372,0.19302,0.463442
0.423744,0.376241,0.378214,0.465374,0.37245,0.501673,0.467218
0.286477,0.372207,0.24727,0.24588,0.544727,0.327216,0.444592
0.617845,0.900496,0.573552,0.683689,0.312348,0.422461,0.387172
0.0456463,0.103203,0.0474937,0.308124,1,0.219386,0
0.683138,0.567611,0.522827,0.610928,0.280483,0.378962,0.564961
0.451047,0.489879,0.206118,0.535093,0.444746,0.373645,0.557709
0.448428,0.714815,0.683378,0.467446,0.489103,0.425421,0.606901
0.138778,0.461674,0.222988,0.381435,0.75524,0.141804,0.590535
0.388433,0.648531,0.586834,0.580554,0.592537,0.582096,0.695694
0.452699,0.741847,0.349312,0.718052,0.301491,0.874355,0.250088
0.335275,0.311569,0.25971,0.521894,0.596095,0.334551,0.237447
0.423632,0.522628,0.38949,0.215079,0.438474,0.498981,0.363097
0.296306,0.212528,0.492934,0.203725,0.529666,0.353583,0.338204
0.704427,0.688464,0.731196,0.694773,0.230917,0.817099,0.457572
0.287312,0.292137,0.530096,0.460781,0.440649,0.326404,0.413098
0.328071,0.453442,0.499601,0.325936,0.623321,0.349588,0.40345
0.34332,0.611532,0.350505,0.407536,0.723888,0.176233,0.797181
0.646491,0.747946,0.591111,0.398516,0.350674,0.526018,0.415306
0.467262,0.664971,0.671208,0.52598,0.444302,0.542614,0.539127
0.245024,0.251611,0.0715416,0.272978,0.856775,0.277844,0.182846
0.298219,0.694644,0.428872,0.465212,0.378513,0.377228,0.424561
0.480238,0.289544,0.471435,0.367305,0.432102,0.325328,0.45159
0.681967,0.754845,0.434178,0.604171,0.300586,0.457307,0.554222
0.465203,0.610831,0.429162,0.570988,0.505904,0.565893,0.393058
0.277645,0.529998,0.384104,0.600411,0.829674,0.191758,0.359309
0.609546,0.669419,0.701396,0.379733,0.345466,0.577366,0.442776
0.888973,0.84864,0.802047,0.885069,0.101115,1,1
0.216083,0.231908,0.0415017,0.369371,0.716992,0.534513,0.436984
0.238034,0.454728,0.399859,0.360313,0.480213,0.119427,0.330528
1,0.742844,0.338079,0.545537,0.198772,0.357206,0.768722
0.401146,0.375136,0.293439,0.295709,0.519143,0.240482,0.206721
0.955038,0.986762,1,0.876025,0.0675464,0.895602,0.70617
0.244231,0.352861,0.0559485,0.310421,0.77649,0,0.293718
0.963154,0.873746,0.758892,0.704774,0.271958,0.808964,0.671886
0.554413,0.466153,0.379114,0.435233,0.384351,0.550219,0.415996
0.978397,0.707174,0.652935,0.672041,0.347303,0.543682,0.632869
0.808404,0.800082,0.670193,0.805922,0.338052,0.763958,0.601697
0.582161,0.654264,0.443607,0.477103,0.578131,0.727312,0.426773
0.494002,0.389418,0.105272,0.153807,0.506275,0.595913,0.310654
