Contour,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt09,Pt10,Pt11,Pt12,Pt13,Pt14,Pt15,Pt16
0,4.87463,6.1158,6.64124,4.29911,3.46088,3.39828,2.21012,2.99981,2.34954,2.09994,1.33629,0.897992,0.0831433,0.884868,1.04537,0.58783,,,,,,,,,,,,,,,,
1,4.85972,6.80762,6.38042,4.64596,3.61837,3.51521,2.19542,3.01696,2.16848,2.04532,1.44921,0.927508,0.144879,0.722949,1.00181,0.540972,,,,,,,,,,,,,,,,
2,4.82912,7.40432,6.03197,4.94535,3.56484,3.49264,2.10706,2.73347,2.05536,2.09743,1.34562,0.886022,0.359145,0.684964,0.908793,0.522161,,,,,,,,,,,,,,,,
3,5.0781,7.44744,5.92867,4.80921,3.88229,3.43174,2.17528,2.52821,1.69062,1.97747,1.3233,1.13626,0.430369,0.600222,1.02624,0.523322,3.96194,,,,,,,,,,,,,,,0
4,5.77436,7.58318,5.22937,5.14523,4.12962,3.48998,2.24426,2.33952,1.54193,2.05298,1.30647,1.18011,0.605294,0.610115,1.0785,0.482532,,,5.1272,,,,,3.0328,,,,,,,2.22491,
5,6.8007,7.92661,4.45642,5.47308,4.19003,3.52102,2.30147,2.13693,1.52173,2.05111,1.19302,1.26706,0.778051,0.54068,1.0741,0.501734,3.36736,,,,3.51038,4.90924,,,,,,,,,,0
6,7.60625,8.51755,4.20398,6.27564,4.68853,3.78154,2.66536,2.14932,1.49391,1.94252,1.35793,1.06704,1.01158,0.519448,1.05207,0.517791,,,3.51145,8.49659,5.08058,,,,,,,,,2.69561,,
7,7.50998,8.76645,4.16204,6.22338,5.13218,4.0184,2.89341,2.09,1.40386,2.0855,1.37056,1.06307,0.967755,0.727994,1.09652,0.593474,,,,,3.8808,,,0.344745,,,,,,,,0.836557
8,7.84501,8.68756,4.3584,6.22811,5.61514,4.15876,2.87769,2.33605,1.83367,2.0031,1.42195,1.30694,1.11051,0.955036,1.1968,0.745302,,,,,,,,,4.21143,,,,,,,
9,8.51707,8.89158,5.22248,6.87402,5.90249,4.31706,3.19304,2.24191,2.20546,2.05621,1.43239,1.53167,1.44103,0.917418,1.17583,0.98008,,10.7,,,,3.98584,,,,,,,,,0.428961,
10,9.55937,9.19434,5.95795,7.58866,5.7074,4.37386,3.19859,2.54248,2.54249,2.06959,1.72952,1.79278,1.38429,1.07929,1.17253,1.05199,,4.10941,5.34445,,,,3.98873,,1.7574,,,,,,,
11,10.1946,9.92306,6.63646,8.09776,6.16561,4.93256,3.35037,3.05222,2.61377,2.12566,2.1043,1.91311,1.60808,1.26751,1.34415,1.13142,,,,9.30567,,,,,,3.42777,,,,,0.0504649,
12,11.7762,10.0804,6.87274,8.4045,6.63646,5.43215,4.03629,3.27316,2.97145,2.42305,2.05895,1.94387,1.72524,1.49264,1.4102,1.178,8.31047,,,,,,,,,,,,,1.0275,1.38407,
13,13.3427,10.4994,7.92587,8.96029,7.63634,6.01181,4.6822,3.54306,3.34569,2.676,2.17227,2.25956,1.72227,1.58588,1.72379,1.22657,,,13.2759,9.17471,,,5.66283,,,4.5408,,,,,,
14,14.8301,11.7253,8.2709,10.1992,8.18906,6.58292,5.18716,4.24734,3.91689,3.11956,2.46937,2.27746,1.95708,1.92309,1.76637,1.32882,7.4417,,,,9.86081,,,,,,,,,,,
15,16.3869,13.0232,9.39736,10.9228,8.84074,6.76597,5.92863,4.58822,4.21837,3.44192,2.70201,2.45265,1.94159,2.08974,1.63247,1.4834,,,,,,,,,5.22834,,,,,3.83473,1.15533,2.8968
16,17.2017,13.9291,10.6397,11.4972,9.58591,7.23074,6.25355,4.90279,4.44742,3.79031,3.09256,2.53858,2.03177,2.22652,1.73093,1.48834,18.7777,,,,,,,,,,,,,,,
17,18.458,14.8322,11.6936,11.3272,9.86968,7.56001,6.3893,4.9939,4.78648,4.29053,3.133,2.84376,2.13636,2.27919,1.85873,1.4145,,,,,,,,,,5.52677,,,,2.80551,,
18,18.9795,15.8256,12.6351,11.853,9.93374,7.80186,6.79726,5.96037,5.07219,4.54424,3.22805,2.86815,2.18622,2.29855,1.79021,1.53192,18.0378,,,,13.5194,8.55056,,,,,,3.12427,,,,2.56499
19,19.714,16.7463,13.4695,12.4525,10.0889,8.13142,7.43061,5.96629,5.15458,4.83656,3.41341,2.8492,2.29664,2.25185,1.89893,1.57581,,,,,,,7.82918,,,,,,,,,
20,20.5308,17.5628,13.9888,12.6286,10.1903,8.68394,7.48072,6.09764,5.23985,4.94286,3.57861,2.916,2.35938,2.43796,2.14885,1.44373,,12.3265,,,,3.45499,,8.35987,,,,,,3.17174,,
21,20.9813,18.0044,14.2429,12.3243,10.6926,9.03473,7.78727,6.41514,5.23268,5.25462,3.68088,2.93186,2.60745,2.62759,2.2885,1.45776,,17.5769,18.6137,,,,,,,6.59951,,,,,,0
22,21.5273,18.4705,15.0526,13.1024,10.7058,9.30089,8.12002,6.48776,5.44109,5.37714,3.56834,3.03615,2.6425,2.6651,2.11996,1.46683,,22.4327,,,,10.6291,,,5.03532,,,2.97266,4.0785,,2.56885,
23,22.538,18.9792,16.0825,13.1779,10.9905,9.24637,8.33783,6.4462,5.46968,5.69907,3.8024,3.24392,2.83102,2.69979,2.1948,1.57731,33.7793,,,,,,,,,,,,,3.91141,,
24,23.3859,19.2877,15.9701,13.2023,10.9778,9.53195,8.46302,6.80168,5.55109,5.66915,3.8868,3.26503,2.94397,2.79091,2.00898,1.62023,,,,,,,7.5422,,5.2045,4.82365,,,2.37866,1.86896,,
25,23.9444,19.7021,16.0946,13.8264,11.088,9.51491,8.37922,6.81462,5.60597,5.62088,3.83097,3.24421,2.92727,2.61397,1.93011,1.61247,,,,,13.8142,,8.82129,,6.73564,,,1.79681,,,,
26,24.3757,20.4831,16.4454,13.5635,11.3193,10.0942,8.09492,6.96477,5.81459,5.48464,4.04205,3.26343,3.05699,2.64742,2.01874,1.59488,,28.7165,13.4777,,6.43741,,,5.39615,6.42359,,5.02403,2.56858,,2.37319,2.34257,2.71316
27,24.6618,20.624,16.7713,13.7646,11.5886,10.3121,8.44094,7.21402,5.81214,5.24639,4.09639,3.30737,3.01877,2.72343,1.92902,1.54562,40.0468,,9.67809,,,,,,,,,,,,,
28,25.2464,21.1634,16.8374,13.6625,11.7139,10.3213,8.57947,7.42462,5.90629,5.08903,4.20622,3.44612,3.1124,2.77253,1.99925,1.65634,17.3825,,,,,15.9681,,,,,,5.23523,,,1.84073,
29,25.5674,21.5883,17.4654,13.8823,11.6789,10.3581,8.77587,7.04601,5.9438,5.05556,4.31262,3.47309,3.24866,2.72158,2.05985,1.74066,,,,,,9.68746,,,,,,,,,0.863548,0
30,25.8646,21.335,17.2965,14.2515,11.9636,10.8111,8.63502,7.11889,6.10583,5.09559,4.25851,3.59298,3.22523,2.83248,1.91319,1.58267,,,,,,,,,,7.35774,,,4.46379,,,
31,25.4227,20.8748,17.5536,14.4214,11.6968,10.578,9.03959,7.44891,6.12242,5.11939,4.44738,3.66856,3.08418,2.7601,1.85288,1.79104,,26.1755,18.2116,,,,,5.33749,,6.5435,6.22618,,,,,
32,25.4741,20.4293,17.7173,14.8406,11.3576,10.3931,8.72985,7.34368,6.24899,5.03623,4.45761,3.69853,3.07967,2.52644,1.857,1.82505,28.8835,,,,,,,,,,,,4.8463,,,2.65378
33,25.3199,20.3777,17.662,14.7302,11.5044,10.4121,8.90915,7.40901,6.09902,5.06303,4.3228,3.4347,3.17655,2.4939,1.92662,1.85287,,,,,,8.66216,,,8.03626,,,,3.6234,,,
34,24.8639,20.332,17.2827,14.6505,11.6677,10.4254,8.54442,7.63779,6.18552,4.68387,4.26629,3.27831,3.13967,2.46945,1.9822,1.69997,,,,15.3368,,,,,,,,,,,,
35,25.073,20.5077,17.0686,14.7661,11.454,10.2503,8.70194,7.65268,6.30176,4.81883,4.49776,3.44807,3.08245,2.39555,2.03267,1.66879,,,,,,,,,,,,,,,1.79967,
36,24.2689,20.7802,17.1525,14.1052,11.3912,10.1016,8.69809,7.34908,6.37516,4.80009,4.60536,3.4824,3.16466,2.4499,2.14298,1.79132,,,,,,,,,8.06358,,,,,,,0.656273
37,23.9585,20.0505,17.0176,14.208,11.042,9.69853,8.73788,7.36479,6.37601,5.0314,4.57309,3.52617,3.26319,2.61479,2.1341,1.68434,,,,,,,,,,,,,,,,
38,24.2356,20.2765,17.0622,13.9939,11.1063,9.64775,8.4907,7.54762,6.55743,5.24085,4.42832,3.47734,3.43039,2.57932,2.19538,1.79678,,,11.9357,,,,,8.34317,,,,,,,,
39,23.6026,20.4374,17.1884,14.5737,11.2327,9.51639,8.65311,7.37055,6.64984,5.26626,4.46845,3.44508,3.29844,2.61556,2.12492,1.67792,,,,,,,,3.79603,,,,,,,,
40,23.9688,20.4495,16.5206,14.8861,11.3103,9.70957,8.50941,7.68722,6.75317,5.26401,4.24134,3.45613,3.2431,2.72727,2.14865,1.58158,34.1329,18.0095,10.3,,,,4.45947,,,,2.87482,,,,,
41,23.4876,20.3503,16.8005,14.7926,11.1781,9.71809,8.51337,7.60091,6.65056,5.37709,4.26283,3.59958,3.2877,2.75881,2.23448,1.70304,,,,,12.8885,,,,,,4.09187,2.51756,,,,
42,23.8645,20.3674,16.6768,14.7975,11.5756,10.3831,8.20375,7.29637,6.67342,5.21022,4.42113,3.58178,3.36462,2.7199,2.15988,1.6054,,,,,9.45236,8.33345,,,,,,,,,,
43,24.1813,21.1802,16.9874,14.6118,11.3152,10.5141,8.74179,7.18445,6.74647,5.27129,4.29809,3.46845,3.3012,2.70817,2.19319,1.56081,,,,,,11.6517,,,,,,,,,3.08344,
44,24.424,20.9061,16.6101,14.6584,11.1331,10.505,8.93086,7.16178,6.81271,5.33631,4.49106,3.39693,3.29047,2.84973,2.0441,1.73544,,,,,,9.15304,,,7.68312,6.54913,4.4863,,,,1.06744,
45,24.2779,21.1335,16.678,14.9381,10.5719,10.5416,8.96511,6.99778,6.71109,5.49113,4.68694,3.57946,3.34016,2.94913,2.07467,1.8438,,18.4916,,,,,,,,4.42735,,,,,,
46,24.0581,21.6234,16.9506,15.1849,10.9173,10.5515,8.67588,7.0458,6.4286,5.35607,4.64018,3.35231,3.41234,3.05947,2.18046,1.88081,23.956,,,22.7613,,,6.18249,,,,6.06002,,,,2.05297,1.35555
47,25.0828,21.5258,17.3478,15.4906,11.2085,10.9929,8.99376,6.98162,6.4113,5.67496,4.62089,3.38601,3.28758,3.0473,2.09694,1.65987,,,15.6347,,,,,7.63573,,,,,,3.77754,,
48,25.0936,21.1331,17.5942,15.7128,11.0914,11.3318,9.00386,6.60474,6.4044,5.39336,4.58693,3.25886,3.31183,2.73579,2.22256,1.76062,,,16.047,5.82706,15.9564,14.0161,,,,3.98734,,1.84849,,,,2.9655
