HBindex,Tau01,Tau02,Tau03,Tau04,Tau05,Tau06,Tau07,Tau08,Tau09,Tau10,Tau11,Tau12,FitX,FitY
0.0476317,,,,,,,0.112653,,,,,,0.0476317,0.0485271
0.0882677,,,,,,,,,,0.0723803,,,0.0506989,0.0496696
0.0909184,,,,,,,,,,0.0774637,,,0.0539636,0.0508122
0.0964598,,,,,,,,,,,0.0714206,,0.0574385,0.0519547
0.0988292,,,,,,,,0.101002,,,,,0.0611371,0.0530973
0.100333,,,,,,,,,,,0.0566533,,0.065074,0.0542398
0.103762,0.185813,,,,,,,,,,,,0.0692643,0.0553824
0.11249,,,,,,,,,,,0.0662519,,0.0737245,0.0565249
0.117765,,,,,,,,,,,,0.004,0.0784719,0.0576674
0.118498,,,,,,,,,,,,0.0346095,0.083525,0.05881
0.118851,,,,,,,,,,,0.0661138,,0.0889035,0.0599525
0.123296,,,0.161348,,,,,,,,,,0.0946284,0.0610951
0.127125,,,,,,,,,,,,0.0138686,0.100722,0.0622376
0.131913,,,,,,,,,,,,0.0204161,0.107208,0.0633802
0.133925,,,,,,,,,,0.0730918,,,0.114111,0.0645227
0.134871,,,,,,,,,,,0.0665688,,0.121459,0.0656652
0.1365,,,,,,0.119968,,,,,,,0.12928,0.0668078
0.142351,,,,,,,,,,,0.0568776,,0.137605,0.0679503
0.146947,,,,,,,,,,,0.0691105,,0.146466,0.0690929
0.147071,,,,,,,,0.104863,,,,,0.155898,0.0702354
0.147845,,,,,,,,,,0.0748183,,,0.165937,0.071378
0.151241,,,,,,,,,,,,0.0376547,0.176622,0.0725205
0.153208,,,,,,,,,,,0.0633478,,0.187995,0.073663
0.154034,,,,,,,,0.1039,,,,,0.200101,0.0748056
0.154892,,,,,,,,,,,,0.004,0.212986,0.0759481
0.1569,,,,,,,,,,,,0.0281917,0.226701,0.0770907
0.157347,,,,,,,,,0.0921999,,,,0.241299,0.0782332
0.165867,,,,,,,,,,,0.0543244,,0.256837,0.0793758
0.1675,,,,,,,,,,,0.0702341,,0.273376,0.0805183
0.168783,,,,,,,,,,0.0759114,,,0.29098,0.0816609
0.173471,,,,0.13768,,,,,,,,,0.309717,0.0828034
0.175001,,,,,,,,,,,0.0557299,,0.329661,0.0839459
0.177167,,,,,,,,,,,0.0518331,,0.350889,0.0850885
0.179705,,,,,,,,,0.0919451,,,,0.373484,0.086231
0.182726,,,,,,,,,,0.0760113,,,0.397534,0.0873736
0.184397,,,,,,,,0.098235,,,,,0.423133,0.0885161
