HBindex,DecayRate,LogTau,FitX,FitY
5.85002,0.250822,0.600635,0.0645223,0.0565102
1.21276,0.101458,0.993715,0.068295,0.0575327
4.6129,0.110577,0.956333,0.0722884,0.0585553
0.911154,0.0710409,1.14849,0.0765153,0.0595778
1.68489,0.0877875,1.05657,0.0809893,0.0606003
0.371763,0.104088,0.982599,0.0857249,0.0616229
14.2676,0.251719,0.599084,0.0907374,0.0626454
3.97111,0.0875651,1.05767,0.096043,0.0636679
0.687558,0.0784252,1.10554,0.101659,0.0646905
0.613487,0.0755568,1.12173,0.107603,0.065713
8.81606,0.158409,0.80022,0.113895,0.0667355
0.866251,0.0842997,1.07417,0.120554,0.0677581
0.457002,0.0466255,1.33138,0.127604,0.0687806
1.29316,0.10849,0.964612,0.135065,0.0698031
0.840791,0.172518,0.763165,0.142962,0.0708257
1.57067,0.116939,0.93204,0.151322,0.0718482
4.35848,0.122509,0.911832,0.16017,0.0728708
4.34128,0.0796149,1.09901,0.169535,0.0738933
17.097,0.158404,0.800234,0.179448,0.0749158
0.636465,0.183983,0.735222,0.189941,0.0759384
0.404614,0.0745503,1.12755,0.201047,0.0769609
0.677322,0.234434,0.629979,0.212803,0.0779834
1.20906,0.091714,1.03756,0.225246,0.079006
0.703198,0.11893,0.924709,0.238416,0.0800285
2.37297,0.14507,0.838422,0.252357,0.081051
1.14923,0.133461,0.874646,0.267113,0.0820736
0.896337,0.0789675,1.10255,0.282731,0.0830961
0.614022,0.109455,0.960763,0.299263,0.0841186
30.8178,0.148907,0.827085,0.316762,0.0851412
3.19329,0.105141,0.978227,0.335284,0.0861637
5.90336,0.091227,1.03988,0.354888,0.0871862
2.94428,0.167131,0.776944,0.375639,0.0882088
6.65934,0.141446,0.849408,0.397604,0.0892313
5.39346,0.179902,0.744964,0.420853,0.0902538
0.746663,0.102079,0.991063,0.445461,0.0912764
2.97048,0.0999823,1.00008,0.471508,0.0922989
2.00371,0.0949502,1.0225,0.499078,0.0933215
18.7411,0.0821495,1.0854,0.52826,0.094344
0.77541,0.181275,0.741661,0.559148,0.0953665
3.39823,0.0931028,1.03104,0.591843,0.0963891
9.28411,0.177003,0.75202,0.626449,0.0974116
3.25303,0.113046,0.946744,0.663079,0.0984341
2.63474,0.0755527,1.12175,0.70185,0.0994567
0.945324,0.141404,0.849539,0.742889,0.100479
1.71256,0.0671265,1.17311,0.786327,0.101502
