Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18
16.6241,7.6712,8.13803,6.92386,5.17668,3.47805,7.57719,6.23543,3.01836,6.02328,3.95654,4.75644,2.68589,2.49261,1.99667,3.3808,4.54139,0.434229
6.66847,8.68614,8.72001,4.34616,5.68129,5.24767,4.31932,6.44567,3.29653,4.47681,3.33238,6.48541,3.70717,2.18744,3.0382,3.70677,2.84029,1.99234
12.0627,6.82647,9.62068,9.27716,6.83472,6.95102,5.29112,5.02223,3.14324,1.83021,4.20151,7.69852,1.7453,2.63597,1.77244,4.12279,2.02316,1.95094
7.13824,8.24618,6.69945,5.04381,7.39517,5.25212,4.53471,7.40828,4.66942,6.7805,1.65135,2.25633,2.59302,3.01937,1.99625,2.97761,1.56831,0.929987
11.2855,5.10137,8.82133,10.2432,3.57551,5.30722,4.6526,6.17003,6.79111,5.84275,4.54795,2.45051,3.37637,3.189,0.971506,0.959284,2.18717,2.31992
12.5257,8.3151,5.13662,9.16438,5.57162,3.04325,4.71938,3.12116,5.06629,2.4166,4.59806,2.94319,2.7363,3.46285,3.63835,1.24339,1.75951,1.60387
11.8755,9.02664,5.67442,4.68299,14.0473,4.05833,5.44964,7.82721,4.08764,7.90359,1.65649,6.56273,2.26991,3.93416,3.74408,2.41431,3.63324,2.12116
9.41723,8.91453,5.40955,8.69666,4.30919,13.1156,4.78017,3.58501,4.74972,1.9289,3.33924,5.31432,2.3211,2.35658,2.40381,4.26507,2.47917,1.58947
14.7738,14.6527,4.32321,10.6338,4.64463,8.2137,7.72158,6.80147,2.75629,2.72804,4.80775,3.90973,3.71114,6.44117,2.58237,2.27284,1.05467,1.91071
5.49147,10.8508,11.8325,4.75518,7.63494,3.48313,6.62472,3.21169,4.47767,5.27784,3.82329,2.99702,3.31566,3.20449,3.15515,2.64365,1.86263,3.50179
6.12185,22.7867,8.34883,12.401,3.36724,6.23592,7.00549,3.85141,13.541,6.44507,6.73841,3.91448,2.67009,3.50226,2.02034,2.26883,2.36508,1.72077
11.4892,3.03712,5.19695,6.52602,10.8845,6.0573,3.62757,4.00429,4.54062,2.38296,3.12682,5.57568,7.37017,1.46864,0.993037,5.43363,1.26286,1.67645
8.6344,4.11094,5.53404,6.24677,7.19132,5.93475,8.52362,5.3711,3.97678,3.90045,3.03889,5.14439,4.47037,5.10721,3.17316,0.992222,2.90993,1.51226
13.0448,13.9554,7.04499,8.17135,2.79217,7.62367,9.19804,8.26182,5.25923,2.76893,2.90916,1.68849,4.28956,2.62331,6.53462,3.4568,3.25542,2.32902
9.79876,13.6516,16.0701,9.85779,3.80163,3.90164,11.5925,4.84494,1.54833,4.92418,2.87946,2.08348,3.71921,0.999901,2.33585,2.97781,2.81257,3.49725
8.47093,7.89536,7.97751,6.56828,3.81253,12.0698,5.71416,11.2511,7.1119,3.7037,5.49741,2.64683,2.89788,0.53209,2.57565,1.34159,3.13525,2.22676
6.18481,9.37931,10.8902,5.52169,6.95225,4.79783,7.66354,3.8217,5.62941,3.05351,3.41755,5.60689,5.68275,1.6451,2.34855,2.03421,1.99992,1.93587
12.2523,9.68383,5.99746,3.41108,12.4692,4.3053,8.93711,4.51437,3.57545,6.03009,2.42694,3.44488,1.69908,2.40768,1.29169,3.12757,1.71481,1.42671
4.70233,13.0022,11.7356,14.115,11.1505,7.94288,6.02009,3.06278,3.90211,3.8969,5.3411,4.64575,2.10232,3.18567,4.75974,2.55439,2.14853,1.79562
6.33138,5.83022,20.4774,8.16708,4.55615,12.0657,5.38593,5.14487,4.54639,4.32228,2.86949,1.71633,3.17533,4.64527,2.50794,1.679,2.0427,2.42431
5.77481,5.42906,15.493,6.79154,3.97354,3.1663,1.9195,3.76142,8.25472,4.45071,3.09173,3.5378,3.35156,1.18071,1.90668,2.51351,0.8885,1.41004
2.87985,6.60414,4.62077,4.10089,4.56097,8.47531,5.06521,6.07541,4.01624,7.17655,2.54383,1.84996,2.39247,4.6147,1.91723,1.16732,1.16878,1.97207
6.78168,9.91328,6.07666,7.64922,5.63673,3.36524,4.62769,5.99592,2.82633,8.12174,2.16144,4.64627,4.3912,5.17543,1.3215,1.34721,2.77188,0.826073
12.1378,3.17175,7.76144,13.5045,3.81054,11.578,6.99342,14.9009,3.22343,1.9795,2.49226,4.72605,4.19704,1.50011,2.02815,1.29761,1.69304,2.22859
11.5617,7.40573,13.3592,10.6053,4.80181,8.19172,5.86013,3.14431,2.83205,2.59045,3.57783,3.2071,1.705,3.22845,3.15872,2.48548,2.62089,1.5755
24.6323,8.18121,15.5911,9.5841,10.5784,5.40152,3.73087,5.40042,5.34451,3.06042,3.20022,2.33765,1.37711,3.70143,1.34804,2.52371,4.54708,2.75043
4.8964,7.93273,10.3958,10.397,6.96276,5.31067,3.54225,4.10528,5.84039,4.0924,2.10797,3.91651,3.84724,6.01665,1.12109,0.90312,3.0206,1.41596
31.7679,12.8848,7.02707,6.12443,5.71955,4.83294,4.00866,3.55988,6.13624,3.44248,1.65277,2.50858,1.83032,3.57409,1.25928,3.60121,3.58898,2.3444
5.53372,4.74793,5.26757,8.27097,2.98876,4.5482,6.89659,5.82924,6.46553,2.57325,3.15941,2.6928,2.07077,4.5956,1.83972,2.43967,3.3586,0.896958
12.4993,14.2635,9.51063,7.82273,9.50255,6.32116,5.36951,6.89694,1.08387,5.40314,3.53549,3.55871,3.62369,4.7745,2.8049,3.16279,2.99102,2.5586
4.72949,12.7372,4.95909,8.25685,7.92436,6.32999,3.19381,5.75429,7.16454,2.80009,1.74837,3.30058,5.10505,3.3126,2.88884,0.77942,2.14318,1.26209
10.8858,6.55999,11.1253,5.99459,7.49242,5.56699,9.01308,4.83997,5.59101,3.73141,8.20498,3.213,3.73016,2.49878,1.48335,2.30228,1.38127,1.65224
8.91028,5.20994,7.65427,12.4131,10.5718,6.86845,4.14375,6.62058,2.44065,4.66869,1.96994,3.22055,0.931302,3.57036,2.39935,4.25033,2.20484,1.41717
8.02864,5.00184,6.21096,7.58604,5.37903,4.07344,4.50459,2.26012,7.46485,5.38919,4.14899,3.96019,2.87338,4.70919,1.92652,4.55217,2.50165,0.945793
10.4636,10.4501,10.0041,9.92609,6.02484,4.7392,3.81577,6.27176,4.00646,1.66655,3.46073,2.36232,3.25658,3.3905,1.2014,2.87141,1.80767,4.14408
7.41832,7.94355,9.1156,7.82673,5.69102,7.41564,6.82403,5.62513,4.42295,6.87696,5.51597,4.29497,3.5818,1.90244,4.66181,0.338649,2.99479,2.00307
7.53055,6.95147,13.5471,4.60719,8.79959,4.16926,5.83632,11.9603,3.08491,4.20144,3.94668,5.56297,5.66834,1.7123,1.68492,2.42026,4.0665,2.70038
6.23898,8.03409,15.1523,9.19105,3.96235,8.08762,8.07794,9.22085,4.14629,3.57574,3.62035,2.86234,7.23342,0.928523,2.77046,2.09455,1.01155,2.47024
6.99639,7.25165,7.39549,4.23205,11.6431,7.17055,4.09749,4.57699,6.68066,4.01624,2.21471,5.77414,2.0736,3.09068,2.61624,2.30284,1.78541,0.894939
7.91377,9.46781,10.4129,3.74377,5.66967,11.0813,4.21662,5.96745,4.34418,1.6331,4.47174,2.91369,5.58543,1.30768,3.87844,2.26032,1.94698,1.3996
8.01261,7.88889,5.97062,6.88772,2.70413,8.83029,3.05039,9.27546,4.45442,2.72644,1.79572,2.31017,3.84369,3.85011,3.04144,3.93482,2.20947,3.21754
5.58861,15.5029,5.73102,6.23418,7.25498,5.65075,4.80842,1.66469,4.65901,1.86616,5.58676,4.41523,2.61177,3.57312,2.66524,2.27102,1.16697,1.75662
6.25879,12.5678,14.199,6.25136,3.81281,5.48626,6.50074,5.88295,2.76537,1.90691,8.9543,4.78117,3.05943,3.76715,4.1222,0.961159,2.72848,2.84288
11.1769,10.2749,8.67599,9.44568,2.48092,2.52247,11.1583,3.49068,4.65316,2.68343,2.46203,2.68174,2.52021,3.33301,3.08795,2.92121,2.86792,1.14893
4.90406,12.1206,5.50498,7.68487,5.22429,6.28861,5.45818,4.64903,7.5922,2.12899,3.07535,1.79064,7.62428,2.86077,1.44836,2.1793,2.64505,1.81613
9.40378,8.55751,9.05527,7.707,6.51426,5.41696,4.62575,6.23778,4.52211,2.38015,2.07151,3.55605,1.46049,6.64768,2.6613,1.5586,1.58655,2.12812
10.9918,6.71638,3.42727,7.33563,3.33054,12.855,7.00151,4.33124,3.16201,5.89352,4.83994,1.3247,3.08954,3.30392,2.41485,3.16701,1.96743,3.56032
13.1899,6.99688,7.67882,5.24801,8.46354,6.25273,6.00936,5.25049,7.10579,5.46793,4.36738,2.8666,4.47263,3.12249,2.44443,2.26583,1.30777,1.91305
18.0594,7.57811,6.24563,3.59239,6.53697,8.65672,3.93751,4.32026,3.51955,5.18579,4.59479,3.33035,3.48645,6.16359,1.78545,1.76699,1.33817,2.13233
5.38344,8.38781,11.6004,6.94024,7.3151,7.41875,4.60161,2.56218,10.8972,6.83727,3.46228,3.33864,2.04259,1.76848,1.01292,3.56884,0.963146,3.14704
10.5474,9.86011,6.70426,9.22735,5.53381,6.61898,6.19139,5.18181,4.84677,2.74748,6.98552,4.16949,4.31671,4.83998,2.63244,2.13541,1.72596,0.473191
4.64037,6.39846,5.33891,6.66015,6.74116,4.6266,2.38641,6.63686,9.40774,2.92015,2.88227,3.61146,3.50598,2.96912,3.06187,2.34862,2.3795,1.16157
10.3083,7.49763,4.61857,6.11828,10.947,7.64873,3.69866,7.38022,5.38761,4.61845,5.53818,5.41968,3.84042,2.29669,1.68726,2.50115,4.25177,1.92269
20.4025,3.57291,10.5705,17.5656,5.93099,4.67192,3.28074,4.2052,4.77134,3.79532,4.62966,3.19375,1.34347,1.56854,1.2836,1.10137,2.22746,1.58401
13.0307,13.0424,16.798,6.83507,11.2643,10.9248,4.26046,4.79921,2.51714,6.50319,1.63461,3.35696,3.01152,2.44716,1.89968,2.42618,1.7558,1.19999
7.3909,3.20624,15.0479,4.89728,5.73903,5.79583,6.45828,4.99304,9.5694,5.73681,2.63004,2.44937,1.43701,3.06792,4.06328,1.17394,1.57155,2.60038
14.4902,7.10477,4.6392,4.89038,4.14195,5.31368,6.59507,7.68714,3.57557,2.81546,4.32455,5.94396,3.08431,2.83284,1.53669,2.28545,1.47447,3.03981
6.49194,2.89703,9.21762,5.70378,4.14847,12.6861,2.25575,6.8969,2.75669,2.29287,2.6883,4.41383,1.02314,3.56658,1.58678,4.09025,0.800885,1.9363
14.3113,7.73774,4.37675,5.51749,9.4156,7.11284,7.20136,10.9727,2.85945,1.74205,3.48664,2.60214,1.76282,3.06156,2.03594,2.0837,1.76769,1.0879
11.1819,8.96619,6.00189,3.74356,6.43467,9.27676,5.43281,2.77031,6.33825,2.58492,3.65357,2.54634,4.60634,2.45159,0.727781,2.33189,3.5846,2.1927
17.5881,15.1576,8.04444,3.9795,7.68118,7.17407,5.23053,4.58062,5.18628,3.86258,2.82443,2.18705,2.55622,2.06331,2.50589,2.98238,3.55995,2.49008
8.64136,14.2181,8.66687,9.74697,6.70251,16.5323,5.75163,8.72558,5.53028,3.01719,3.04623,4.24981,1.95796,2.26112,3.49736,1.99359,2.05139,2.0793
19.0577,7.77474,10.8062,10.6165,15.5426,12.0309,3.58052,8.96328,6.21541,5.50666,3.24479,3.24479,2.45192,3.99101,3.98593,2.92044,2.87874,2.40171
4.76923,7.50148,4.66815,15.6077,5.24673,10.0415,6.89789,1.56665,2.10369,5.36957,4.95286,4.38832,2.64721,1.31835,3.13971,1.5692,1.84861,4.46676
7.36611,8.67948,10.3088,10.7802,7.85469,7.16991,6.41537,2.07701,6.60602,7.07007,4.72974,5.30243,4.30166,2.36963,2.76945,2.14224,1.92422,1.33265
7.61297,7.3762,8.40805,7.67458,4.38339,11.9668,8.84286,3.92154,8.91779,5.08168,1.86214,2.53418,1.66144,0.160115,5.28768,2.14836,1.74251,4.76887
11.6659,8.26789,3.83391,11.5593,4.25477,7.26554,4.56965,6.19644,3.35529,3.86009,2.10747,2.73246,3.20456,5.54591,3.5361,2.01817,2.79968,2.51554
9.17117,7.47727,5.89108,7.0957,5.60801,8.43576,7.21347,9.19941,5.5515,2.21954,4.8658,5.25566,2.69945,2.20342,1.78724,1.69034,0.844661,4.76109
8.10246,9.79209,7.21449,14.6369,7.4851,6.16642,6.07417,4.68933,4.40302,5.16505,3.69142,2.71768,3.02347,2.32945,1.52597,2.29079,3.79116,1.34735
10.7855,11.0468,8.23067,8.06727,8.32991,4.52137,6.29753,6.47226,5.73243,1.42416,1.89158,2.38121,4.90549,2.96284,2.04465,1.97567,2.6581,6.63031
14.5005,14.8798,6.99682,4.97243,4.60603,5.00634,3.76969,10.8503,3.33431,3.85688,1.92303,1.7191,1.50091,2.53797,2.0125,1.98045,2.08058,2.99646
6.80991,6.0072,11.6653,5.21343,7.75841,8.36753,10.2022,4.02808,4.48777,5.29941,6.88549,2.32564,1.66634,3.94476,2.91934,2.31205,0.562442,2.30267
20.9218,13.7596,12.9953,10.0793,13.8954,2.95612,6.37541,5.58024,2.96388,3.60648,2.84371,2.23863,2.1307,3.81715,1.84781,5.35485,1.66651,1.30206
16.4031,11.4788,5.87513,2.19893,5.53689,5.90664,6.39663,2.90499,3.09523,3.65093,4.314,3.22862,3.02971,2.14456,3.94549,1.13476,1.33376,0.895417
6.77986,8.68304,7.87948,8.57799,6.95949,5.84969,5.69835,6.78313,1.99827,6.30145,6.11714,5.46883,7.8544,4.36899,3.32526,1.01327,2.48907,3.38291
14.9015,5.75406,10.0066,4.4897,8.80214,12.6633,6.45353,4.91981,8.42221,3.50497,4.12339,4.07787,2.22004,2.49268,2.59489,3.35108,1.41219,1.25269
7.40971,14.4815,6.58974,11.7529,5.48705,5.52895,9.23043,3.95034,3.40812,4.49633,3.57349,2.06102,2.09153,3.09469,4.85238,3.42573,0.84045,1.25164
6.83458,7.98778,3.38456,7.52564,8.23314,3.58235,7.64675,8.80482,4.74653,5.65057,5.74554,4.12383,4.24022,1.92511,2.18644,2.63005,4.42549,3.99233
13.3026,5.28065,14.9917,4.41943,7.45541,11.6525,2.77749,3.15575,2.66125,3.49487,3.10401,2.6649,1.10304,4.12747,2.00139,3.4084,1.88249,2.15624
8.33661,4.43706,3.44316,7.46237,6.44667,7.8271,5.89003,5.11971,1.51399,5.50131,1.21623,3.34568,2.80551,1.66944,2.87529,1.3059,1.83865,1.30688
5.67518,9.76132,8.44286,7.24133,13.4961,3.92934,5.09299,5.2941,5.61317,5.06786,2.23359,4.6739,1.72549,3.10096,1.98892,2.46745,3.02442,0.629927
5.98139,10.4285,6.86453,6.66175,5.94645,9.25154,6.03806,3.33514,3.13107,4.19583,2.86455,4.8519,4.18693,1.92928,2.85192,0.938812,1.28608,1.33301
9.78632,11.6013,6.43395,13.3089,3.24874,7.58103,14.4862,10.009,6.32092,3.50911,1.9703,3.60715,3.2583,1.13891,2.13612,6.60371,2.11085,1.22395
17.3596,8.23649,8.97475,6.07,3.47055,3.35198,3.61921,5.32447,3.17969,3.09889,4.9893,3.93591,6.55281,3.27154,2.24923,1.97305,1.91903,1.11692
12.1577,6.7708,10.9735,6.74779,2.51296,6.7106,7.12009,6.94434,5.02346,4.14639,4.76746,3.52576,3.02688,2.92167,3.47507,3.84656,1.05573,0.301143
6.68411,13.1269,5.71239,21.7075,5.27583,4.32931,3.22161,5.29768,2.88413,3.22934,2.9649,3.49018,2.93893,2.42852,2.69275,1.66121,1.59335,1.3413
7.51352,7.69375,8.62756,9.32249,8.04208,4.42966,4.78533,8.63134,2.9055,7.8379,3.51359,6.07139,2.51828,5.14191,4.19321,2.19014,1.39518,3.0237
10.8131,15.5143,6.52744,5.01936,9.01346,4.67903,8.17746,8.71332,3.19926,5.01405,8.48796,4.46068,1.24094,1.81203,1.93845,2.08538,2.8575,1.9546
8.41956,27.7378,26.0162,8.24436,4.86475,9.1336,8.63117,2.53669,6.87235,1.56248,3.94001,3.16188,3.71723,2.44841,2.65024,5.67429,3.31437,1.22344
10.4384,7.04836,3.42828,9.45945,5.14952,4.09429,6.69253,6.09437,4.67117,3.88076,4.12761,5.03214,1.70197,7.27592,1.26119,2.57452,1.51141,3.11832
13.8404,7.09629,12.5092,7.94507,2.38358,8.0808,4.13209,4.75303,4.82262,7.37415,3.0322,3.38421,4.30087,1.64221,2.81897,2.20003,2.80449,0.992364
7.34398,3.52902,9.00955,9.40572,11.405,7.26855,3.70987,11.0762,7.30826,5.57454,4.61789,3.24102,5.89845,1.88011,2.91209,1.92053,1.17448,1.89043
10.4205,7.6292,9.94355,7.75715,7.59243,4.20583,3.58463,2.98407,2.32135,3.68216,2.28075,1.32927,1.11352,3.1564,3.86605,1.68556,2.05374,1.18793
4.87676,15.9872,7.17028,19.2553,10.6799,9.41265,6.57325,3.03487,3.54505,1.94148,2.62773,1.49939,6.04529,2.04859,2.6365,2.27421,1.49742,3.95147
9.64788,19.1775,5.91436,5.8596,5.4761,4.53106,9.45769,7.68289,1.35383,3.66259,3.8563,3.46815,5.10897,3.15374,1.88291,5.19974,1.38857,2.3708
4.0778,2.90466,10.3413,6.41427,3.93392,4.38361,3.1764,7.62189,4.16259,3.23374,2.65228,4.13121,2.80953,3.80028,1.40339,2.03703,6.0614,2.06812
5.98661,7.78781,9.54573,10.1758,7.34188,2.94877,5.32541,5.71004,4.59431,4.26519,9.16315,4.69117,2.04631,0.80467,3.27901,1.32015,1.68884,1.93235
8.24153,10.6633,4.07053,14.7189,5.93483,3.48816,3.5745,3.57351,4.73916,3.56055,4.82462,2.91367,1.41586,3.19738,4.23822,1.63285,0.368775,2.24975
5.80674,6.01499,7.20303,10.202,4.96154,5.48442,5.31758,5.3901,4.25478,2.11334,5.97612,3.1804,3.72954,3.38429,1.87414,1.27919,1.79108,1.13724
8.80924,13.5718,14.841,10.3547,3.42499,5.18942,0.920946,5.20282,3.61408,3.16732,2.86365,1.85145,4.01714,6.48563,2.12182,2.24982,2.55092,1.37858
10.0114,11.4674,12.5028,9.99404,11.5423,6.64106,10.26,6.96244,2.31522,2.68217,4.17444,3.00861,1.62003,1.40644,2.14285,1.61081,1.94375,0.730778
20.8326,9.5854,5.11076,4.37362,5.15335,4.88289,7.719,3.02186,5.84296,2.59751,4.54285,5.54658,4.18278,2.03977,1.23865,0.863757,3.02387,2.17192
6.672,7.57723,14.4605,6.85861,3.66818,12.9076,4.93331,3.70396,3.72935,3.88822,6.23265,5.86178,1.1377,0.465592,2.88742,3.40357,1.00713,1.2978
13.045,1.54744,6.97781,6.01753,6.72881,3.81355,1.04469,9.6157,2.19129,4.54287,1.97484,6.29594,3.79878,8.60795,2.59125,2.46619,2.84964,2.2455
9.31143,6.29965,6.46715,8.03308,5.59264,5.65218,3.16336,3.51431,4.69891,2.04058,3.20246,4.03809,1.2847,2.47494,3.16754,2.30202,3.60477,1.90775
7.97018,11.186,8.62339,10.7811,8.91769,10.2252,3.06747,3.78877,7.48569,4.43138,3.40478,3.21836,3.95374,1.83654,6.63567,3.04746,1.57781,0.4656
8.23193,10.1845,16.4918,6.20749,4.37981,5.54054,4.02888,1.90619,5.85461,3.89695,3.35996,1.42826,3.59352,3.35193,5.56245,1.98572,3.13038,2.03924
16.3951,8.49287,11.8366,8.14941,2.77429,6.55786,6.12949,5.75793,3.13575,2.26902,2.01177,2.74,3.03727,3.69021,1.87834,0.0726527,3.45832,0.874966
5.40059,7.8589,6.34232,6.11816,9.66216,5.41957,4.72418,4.0876,2.06642,5.74635,3.46255,2.62065,3.17174,1.05195,2.97285,4.01996,2.41297,1.91484
3.87512,10.1987,10.2094,4.48255,11.5885,3.008,6.5244,5.24813,4.30399,4.9741,5.91727,2.21274,5.25328,2.39147,3.23954,2.23953,3.13676,1.80206
11.1391,4.49922,5.55314,8.46293,3.10303,3.02458,3.33352,6.16997,4.8755,6.32462,1.31726,3.95373,4.18632,0.537372,2.13606,4.8089,1.1317,2.0215
10.5526,6.4772,4.91086,12.404,4.13704,2.36153,6.7088,7.55849,3.0695,2.88977,1.5774,5.40065,5.7204,3.63078,4.85318,1.63362,1.98162,2.04182
7.35325,6.91931,11.9351,8.53656,6.81743,9.41912,2.44236,3.78439,2.63337,5.7906,3.28088,3.41183,2.63078,3.76664,2.11538,2.02827,1.50833,1.94871
7.72197,4.58973,5.81548,7.25317,7.46415,6.31949,5.73528,4.32398,8.86503,6.8601,1.1604,7.30316,3.49358,3.16456,4.93877,1.53733,1.70099,1.28892
7.10127,6.12759,5.63124,5.75955,6.21503,6.84866,5.05669,4.07721,4.47921,4.32023,6.70308,3.65743,6.70045,2.96718,1.69987,1.9817,2.01196,1.55901
7.70366,6.02051,6.74541,10.1348,8.63153,6.58946,12.8377,4.77449,1.88484,5.69176,3.48302,3.14168,2.14423,2.66286,1.42447,4.18297,2.14522,2.10097
8.95973,6.97424,6.28459,4.28981,3.66255,4.17204,4.6035,1.95075,4.28875,3.52785,1.71476,8.34103,3.55289,3.66126,2.08822,4.14499,2.10236,2.05936
8.81278,10.4042,7.47193,6.32854,7.85597,3.14891,6.8615,3.06256,6.29619,2.35735,4.08311,6.6712,2.84697,4.09643,2.20947,2.77043,1.89317,2.36186
9.18837,9.65875,4.4508,6.4966,4.39593,14.4579,5.53214,3.57278,3.84213,5.10969,1.55529,3.58946,6.25711,2.936,2.55096,1.81785,2.9726,1.88825
6.64671,12.7217,4.22694,6.71765,6.74261,7.23243,3.45825,4.90367,6.13738,4.32736,4.03318,2.90891,1.73716,2.03266,2.54544,3.08481,1.61544,2.67804
11.2963,4.93891,4.49586,5.14775,11.4673,4.40776,2.64561,4.80032,3.36125,3.32102,4.07256,2.37939,4.09084,5.73848,2.59954,1.18395,0.847313,2.35106
4.89552,6.31133,11.1894,9.12824,9.30655,14.1315,5.26874,7.33995,4.83695,5.03602,3.3216,2.43637,1.82518,1.94673,1.56742,5.35803,2.94544,2.56787
8.65142,7.61366,16.5805,8.09156,10.1091,9.60739,5.54937,2.60685,1.46268,3.11842,3.17602,2.38287,2.90128,3.16391,2.58106,1.74799,1.71574,2.0105
13.7195,10.8265,7.18203,6.66159,9.91581,4.88123,7.29319,2.19547,6.95162,7.98332,9.31764,4.82983,3.83437,2.57594,1.74442,5.00259,1.52505,0.814813
15.3472,14.0875,8.19042,5.95148,7.73124,2.2074,5.12488,13.104,2.73831,2.30716,2.0895,3.7512,2.06048,3.74478,2.93431,1.74578,2.07989,0.373109
8.35312,2.54905,9.21393,6.53903,8.81752,6.99358,5.80345,12.2102,2.29827,7.74249,5.16983,2.41457,0.982908,5.86372,1.81518,2.19623,3.1967,2.30216
13.5151,9.90884,8.30201,4.76429,9.64075,7.92763,10.4795,4.0054,3.61189,1.26121,4.82671,6.18149,4.33745,1.53518,2.07219,1.73364,0.82452,1.04457
6.44636,6.04533,7.75191,10.0416,5.26928,6.13794,10.9803,7.37256,2.81288,2.19641,2.55804,1.94564,2.96336,2.0709,4.40036,2.60307,2.42563,1.50601
7.01658,12.2351,7.55855,3.4585,9.78085,5.04857,6.82368,3.32979,3.78754,3.90261,2.65605,2.4231,3.52088,2.8591,2.28179,3.79905,1.642,1.46137
12.2512,3.92646,4.87462,5.65121,6.72029,6.6644,5.59466,5.18998,2.97776,2.10287,2.57294,2.08907,3.87731,5.41413,3.42083,2.63571,1.16511,5.48737
10.2793,5.42754,11.5865,12.9717,14.8556,10.8143,3.12738,5.10464,2.04162,0.705448,3.17192,3.57517,3.49545,1.19912,5.41185,2.06057,2.58513,1.54228
11.6384,10.0817,5.10172,7.05992,4.69633,10.8095,5.2093,3.77751,6.99417,6.15592,5.29006,3.05197,1.89808,2.32146,3.73552,2.5483,1.19998,3.53299
11.1127,26.0262,8.75895,9.89957,7.62013,2.94853,3.56815,6.35147,4.46819,1.20088,4.67101,3.25689,2.61084,2.81544,1.30787,1.50118,2.78525,2.27449
15.1903,8.86723,7.02786,6.0089,9.29863,5.52458,5.59447,5.15501,2.71345,3.30647,3.81415,5.35938,0.318174,5.21131,3.33097,2.76964,2.55025,3.36621
5.08036,11.4422,14.6104,10.6471,9.00347,15.0936,2.96409,4.38345,4.37312,3.94025,8.59999,2.36669,1.52869,2.8308,0.785169,2.01047,2.09899,1.90247
7.26111,10.6312,8.36496,3.15936,4.53382,5.53922,3.544,7.47969,5.63009,3.45772,5.71821,4.72308,3.1059,2.59027,3.82798,2.46335,1.25826,2.01929
9.2104,10.3608,7.68219,4.99061,20.9268,4.45566,4.84413,3.57813,5.25266,3.12604,2.63278,2.72842,3.06892,3.7261,0.453766,2.35329,1.61585,2.25031
4.32739,7.8603,15.9506,2.98856,14.6419,3.05115,7.49178,2.12933,1.88986,5.67848,5.09498,1.70973,4.15583,2.17177,1.71289,2.21907,1.57886,1.32488
6.48855,6.47079,8.82622,3.75241,5.52093,3.46625,6.92195,5.79515,4.1671,6.44339,4.40542,3.28944,6.32649,0.752341,2.05653,1.4856,2.23942,2.4214
8.3863,13.3537,15.9679,5.62938,3.07727,5.43318,7.6229,7.54754,4.08792,4.35607,5.53761,1.12515,2.37847,2.54608,4.06748,1.70735,2.81757,1.51702
9.03642,8.24594,7.50562,7.80777,7.18024,2.62028,6.90582,5.61628,2.85851,2.65214,5.43984,3.32432,3.10971,5.72499,2.17901,1.19029,1.79616,2.83237
6.1511,3.51445,14.4782,7.75549,6.30696,5.85339,1.63446,4.96706,7.06054,2.91049,3.32906,7.34655,2.78796,2.28709,2.243,1.58291,2.58533,1.79041
