Temperature,HardSeg,LogEta
90,16,3.62
90,17,3.71771
90,18,3.8117
90,19,3.89698
90,20,3.96951
90,21,4.0266
90,22,4.06711
90,23,4.09164
90,24,4.10239
90,25,4.103
90,26,4.0982
90,27,4.0934
90,28,4.09417
90,29,4.10574
90,30,4.13252
90,31,4.17774
90,32,4.24309
90,33,4.32862
90,34,4.43271
90,35,4.55212
90,36,4.68233
90,37,4.81788
90,38,4.95291
90,39,5.0818
90,40,5.19975
90,41,5.30323
90,42,5.39033
90,43,5.4608
90,44,5.51605
90,45,5.55894
90,46,5.59356
90,47,5.62488
90,48,5.65834
91.5,16,3.5845
91.5,17,3.67885
91.5,18,3.76976
91.5,19,3.85247
91.5,20,3.92314
91.5,21,3.9792
91.5,22,4.0196
91.5,23,4.04487
91.5,24,4.05712
91.5,25,4.05981
91.5,26,4.05745
91.5,27,4.05517
91.5,28,4.05829
91.5,29,4.07179
91.5,30,4.09989
91.5,31,4.14568
91.5,32,4.21085
91.5,33,4.29551
91.5,34,4.39815
91.5,35,4.51571
91.5,36,4.64377
91.5,37,4.77696
91.5,38,4.90946
91.5,39,5.03571
91.5,40,5.15107
91.5,41,5.25225
91.5,42,5.33764
91.5,43,5.40724
91.5,44,5.46258
91.5,45,5.50649
91.5,46,5.54287
91.5,47,5.57641
91.5,48,5.61221
93,16,3.549
93,17,3.64014
93,18,3.7281
93,19,3.80834
93,20,3.87722
93,21,3.93229
93,22,3.97254
93,23,3.9985
93,24,4.01215
93,25,4.01681
93,26,4.01674
93,27,4.01686
93,28,4.02219
93,29,4.03752
93,30,4.06689
93,31,4.1133
93,32,4.17844
93,33,4.26252
93,34,4.36419
93,35,4.48052
93,36,4.60717
93,37,4.73872
93,38,4.86925
93,39,4.99316
93,40,5.10588
93,41,5.20441
93,42,5.28752
93,43,5.35561
93,44,5.41044
93,45,5.45487
93,46,5.49263
93,47,5.52809
93,48,5.56601
94.5,16,3.5135
94.5,17,3.60157
94.5,18,3.68669
94.5,19,3.76457
94.5,20,3.83172
94.5,21,3.88582
94.5,22,3.92592
94.5,23,3.95251
94.5,24,3.96749
94.5,25,3.97398
94.5,26,3.97608
94.5,27,3.97845
94.5,28,3.98588
94.5,29,4.00295
94.5,30,4.03355
94.5,31,4.08063
94.5,32,4.14593
94.5,33,4.2298
94.5,34,4.33106
94.5,35,4.44693
94.5,36,4.57305
94.5,37,4.70381
94.5,38,4.83304
94.5,39,4.95493
94.5,40,5.06492
94.5,41,5.16034
94.5,42,5.24048
94.5,43,5.30628
94.5,44,5.35988
94.5,45,5.40422
94.5,46,5.44289
94.5,47,5.47994
94.5,48,5.51974
96,16,3.478
96,17,3.56312
96,18,3.64553
96,19,3.72114
96,20,3.78663
96,21,3.83979
96,22,3.87972
96,23,3.90689
96,24,3.9231
96,25,3.93133
96,26,3.93547
96,27,3.93995
96,28,3.94938
96,29,3.9681
96,30,3.99991
96,31,4.04773
96,32,4.11339
96,33,4.19743
96,34,4.2989
96,35,4.41511
96,36,4.54163
96,37,4.67253
96,38,4.80117
96,39,4.92137
96,40,5.02853
96,41,5.12033
96,42,5.19673
96,43,5.2594
96,44,5.31097
96,45,5.35459
96,46,5.39369
96,47,5.43199
96,48,5.47343
97.5,16,3.4425
97.5,17,3.5248
97.5,18,3.60461
97.5,19,3.67803
97.5,20,3.74191
97.5,21,3.79417
97.5,22,3.83392
97.5,23,3.86161
97.5,24,3.87897
97.5,25,3.88883
97.5,26,3.89489
97.5,27,3.90138
97.5,28,3.91268
97.5,29,3.93298
97.5,30,3.96598
97.5,31,4.01459
97.5,32,4.0808
97.5,33,4.16537
97.5,34,4.26758
97.5,35,4.38489
97.5,36,4.51267
97.5,37,4.64454
97.5,38,4.77323
97.5,39,4.89205
97.5,40,4.99627
97.5,41,5.084
97.5,42,5.15598
97.5,43,5.21474
97.5,44,5.26358
97.5,45,5.30589
97.5,46,5.34499
97.5,47,5.38421
97.5,48,5.42707
99,16,3.407
99,17,3.48659
99,18,3.56391
99,19,3.63523
99,20,3.69757
99,21,3.74893
99,22,3.78849
99,23,3.81667
99,24,3.8351
99,25,3.84649
99,26,3.85436
99,27,3.86273
99,28,3.87579
99,29,3.89759
99,30,3.93173
99,31,3.98117
99,32,4.04804
99,33,4.13337
99,34,4.23671
99,35,4.35559
99,36,4.48521
99,37,4.61861
99,38,4.7478
99,39,4.86546
99,40,4.96673
99,41,5.05012
99,42,5.11724
99,43,5.1716
99,44,5.21724
99,45,5.25784
99,46,5.29662
99,47,5.33655
99,48,5.38064
100.5,16,3.3715
100.5,17,3.4485
100.5,18,3.52341
100.5,19,3.59272
100.5,20,3.65357
100.5,21,3.70406
100.5,22,3.74342
100.5,23,3.77203
100.5,24,3.79147
100.5,25,3.8043
100.5,26,3.81386
100.5,27,3.824
100.5,28,3.83873
100.5,29,3.86194
100.5,30,3.89716
100.5,31,3.94739
100.5,32,4.01491
100.5,33,4.10103
100.5,34,4.20555
100.5,35,4.32609
100.5,36,4.45764
100.5,37,4.59268
100.5,38,4.72246
100.5,39,4.83906
100.5,40,4.93744
100.5,41,5.01653
100.5,42,5.07882
100.5,43,5.12878
100.5,44,5.17117
100.5,45,5.21
100.5,46,5.24836
100.5,47,5.28887
100.5,48,5.33409
102,16,3.336
102,17,3.41051
102,18,3.48312
102,19,3.55049
102,20,3.6099
