Catalyst,Extender,OpenTime
0.02,1,49.2666
0.02,2,48.0031
0.02,3,46.367
0.02,4,42.1429
0.02,5,39.2699
0.02,6,36.1675
0.02,7,31.7548
0.02,8,28.8303
0.04,1,49.4145
0.04,2,50.057
0.04,3,46.4418
0.04,4,44.9864
0.04,5,41.2164
0.04,6,36.9825
0.04,7,33.1018
0.04,8,30.7983
0.06,1,50.1425
0.06,2,49.9538
0.06,3,45.8185
0.06,4,45.1546
0.06,5,39.3917
0.06,6,37.4411
0.06,7,34.509
0.06,8,30.963
0.08,1,42.0948
0.08,2,41.1056
0.08,3,38.4915
0.08,4,36.4174
0.08,5,32.1032
0.08,6,31.1339
0.08,7,26.5868
0.08,8,21.8625
0.1,1,33.8351
0.1,2,33.9375
0.1,3,32.3268
0.1,4,25.4515
0.1,5,23.5153
0.1,6,21.2074
0.1,7,17.0892
0.1,8,13.0693
0.12,1,26.8994
0.12,2,26.003
0.12,3,24.3862
0.12,4,21.2698
0.12,5,18.3257
0.12,6,15.0017
0.12,7,11.9093
0.12,8,6.72039
0.14,1,22.5002
0.14,2,22.7542
0.14,3,19.2375
0.14,4,16.7097
0.14,5,13.0801
0.14,6,9.58684
0.14,7,6.08656
0.14,8,2.66133
0.16,1,19.8678
0.16,2,16.5441
0.16,3,15.337
0.16,4,14.4405
0.16,5,10.5264
0.16,6,7.82337
0.16,7,2.23522
0.16,8,2
0.18,1,15.0902
0.18,2,14.1027
0.18,3,11.4865
0.18,4,9.09656
0.18,5,5.89265
0.18,6,2
0.18,7,2
0.18,8,2
0.2,1,11.2087
0.2,2,12.3257
0.2,3,8.25378
0.2,4,5.51034
0.2,5,3.67416
0.2,6,2
0.2,7,2
0.2,8,2
