HardSeg,AnnealTime,Modulus
24.9352,10.2488,66.1233
17.7885,6.99345,38.321
35.7676,20.3234,120.85
21.6574,16.2028,64.9867
39.4078,28.2739,144.631
32.3182,25.8692,79.1187
20.0244,6.78462,46.962
37.0095,7.37667,122.544
25.713,1.78751,36.373
42.0732,75.2735,189.314
27.8069,1.94185,101.866
28.702,0.126632,48.0687
20.1106,0.226195,14.754
45.6618,1.98794,152.894
29.9937,2.24264,71.2074
43.0439,0.35911,110.123
37.9005,7.73194,122.091
22.4202,0.362126,68.3441
41.921,28.8639,200.543
47.7075,14.4009,217.042
31.5068,68.4349,92.489
47.0897,0.977361,134.805
45.2605,48.5074,247.522
18.7435,1.3063,5
22.3016,14.0007,68.093
33.2093,2.15145,75.1739
19.4989,34.9494,27.179
23.2908,21.3802,73.5358
18.7512,43.9414,15.4312
41.2765,0.527875,153.486
17.1676,71.6117,38.2267
29.9866,0.644411,41.3263
22.6268,0.160723,40.4952
43.8688,66.3637,229.847
27.1057,2.12416,53.9363
21.3962,16.2661,39.1935
26.9137,3.58613,61.0349
21.9569,70.7072,34.5705
16.9258,0.561024,14.4359
42.611,13.2113,181.75
20.7899,71.102,26.0711
42.6431,9.15821,156.043
30.6517,21.7898,117.051
31.179,2.25326,95.1552
42.6965,46.0576,186.859
27.4783,9.04522,75.7197
16.9322,0.12252,39.9819
20.7354,2.77692,5
43.4316,5.40077,162.987
33.5201,0.182098,115.841
24.8786,0.402641,33.6496
43.88,39.3189,191.032
42.4772,15.5416,182.842
16.1923,38.4202,5.84697
34.6555,27.0891,146.361
32.4657,37.0515,109.862
37.5856,0.510799,97.3533
30.037,0.29483,75.273
23.2412,0.628332,41.8378
32.0227,20.5536,104.201
17.0907,0.564278,41.9777
36.4586,19.0012,157.577
43.7854,0.195193,109.258
39.495,0.309578,91.0258
43.1161,12.0967,173.356
37.6549,0.111873,100.808
30.9059,25.7745,96.8585
31.4345,0.153638,73.7016
36.0637,16.23,135.913
42.1519,34.3589,159.296
16.7484,1.1985,25.8615
37.0945,2.07339,100.189
22.4312,0.230067,5
29.6444,41.5238,150.781
16.8425,50.0494,25.4198
33.4555,0.242224,84.5631
40.3921,0.291048,134.648
40.382,11.5872,184.065
46.4958,0.114323,150.971
25.5287,7.48475,73.9232
38.4119,0.493313,97.5549
38.5305,48.7785,204.772
32.1708,0.967213,85.1181
39.9516,0.143709,113.213
29.9556,2.05112,66.942
16.3764,1.10713,5
30.9125,0.11548,52.4065
27.396,10.1757,99.5859
42.8282,0.112386,123.188
25.8559,0.878055,69.9698
29.4842,0.287268,106.722
47.5756,0.670681,167.446
42.9686,1.1147,102.148
35.9269,42.7464,164.158
39.1339,65.2865,202.785
43.76,0.241785,156.463
35.7183,0.370798,75.3814
44.4021,2.45773,146.103
21.9929,4.11319,53.5903
27.7206,6.08194,99.2762
45.8227,1.15801,214.469
43.3884,0.200514,129.099
16.3985,0.498997,61.6217
24.4354,9.58214,58.9727
40.689,1.81395,101.629
44.7999,57.3651,207.196
28.3742,69.5052,56.5547
18.3972,2.08869,34.65
39.0711,6.05589,145.927
44.5088,54.9054,236.476
44.5896,0.676977,173.902
30.6105,0.173057,78.8388
26.4313,55.6749,84.529
30.4486,0.512538,126.315
43.4484,0.416478,92.888
38.2536,13.7427,189.923
33.0895,1.73858,121.334
46.9533,33.6703,252.317
26.3664,11.0219,25.5221
22.9671,1.63036,55.6958
47.6019,75.1669,277.458
27.3649,1.68351,46.6828
21.1738,3.81363,39.746
19.5962,14.1053,54.2722
29.0915,6.68307,91.9548
47.049,0.300365,146.273
29.6557,4.9021,94.9779
30.1936,58.1336,90.668
21.0738,0.29188,5
38.2464,0.176971,102.102
23.1829,6.6933,43.6608
43.1618,2.19046,141.353
31.8183,20.3104,138.443
43.5134,49.512,206.89
42.8532,16.3335,184.148
38.2003,0.690898,107.828
29.4715,11.4914,59.4639
27.5406,13.621,91.1286
47.5126,0.206904,167.747
45.1427,11.1943,190.739
38.1452,12.3205,121.039
27.9188,0.244108,86.4997
17.036,35.1208,5
44.6511,9.41774,187.35
38.6356,11.6899,144.648
26.5671,2.66187,49.889
19.1154,12.8469,72.6556
20.9973,0.759902,7.03395
33.7691,37.2853,124.069
39.2585,1.03037,147.403
43.1299,1.17713,141.395
20.8242,0.912862,32.1959
39.1246,17.3118,138.321
43.122,1.30778,153.534
43.9555,0.525391,136.336
30.1313,4.25715,62.0969
16.917,0.269151,30.6039
24.5114,8.07641,28.7658
34.2641,6.53788,88.3268
43.4256,66.8601,214.812
25.1672,60.5416,68.769
27.7798,1.09127,67.5073
36.6052,16.1694,162.831
18.612,0.125014,5
26.2638,0.310931,13.3643
22.0173,73.9659,63.0757
40.7978,1.18907,121.697
41.3375,14.3819,142.61
32.9912,38.1997,111.301
38.2739,2.08167,86.0154
18.1799,0.727729,5
30.7138,73.4517,108.901
33.3269,1.31548,49.1019
21.8633,3.61728,71.6212
42.0202,1.09759,152.897
39.4336,0.201003,123.582
21.6731,0.662194,53.8105
33.5732,1.20548,95.5145
18.5443,0.434957,13.4161
25.0272,0.707767,59.2029
22.0754,0.465338,44.7436
18.0985,57.3207,5
38.4236,0.173854,141.039
24.3086,2.08994,54.072
29.4587,19.019,115.967
42.0359,17.0194,220.701
22.26,13.0071,40.4148
37.0209,60.5798,163.47
24.9544,15.5107,78.1342
38.3797,6.0655,167.011
44.9406,1.51669,143.67
17.0607,0.632247,27.5503
27.1028,0.714584,65.8836
26.7102,9.81589,87.2148
33.3928,17.6109,127.186
27.0951,2.43237,100.919
41.2737,3.07496,169.151
33.0115,0.757041,97.2157
23.14,0.108049,29.751
19.0791,0.11407,23.1025
20.0421,0.191215,58.0736
22.3932,14.895,54.3648
42.3712,0.119921,107.114
16.4673,4.43531,7.13276
19.7025,72.1969,5
35.831,0.109767,121.584
36.6482,1.23541,145.117
19.0059,0.103841,5
28.2408,66.5866,103.995
39.0662,2.65183,186.631
24.2733,9.88702,52.3574
27.939,0.308009,40.5552
32.765,4.47268,104.562
45.6154,39.332,251.008
18.7948,2.4561,53.7732
47.7343,1.19251,174.458
37.7115,0.294165,84.5551
46.8368,15.2329,224.114
22.8189,53.0965,123.398
19.0908,26.3356,37.9177
41.1403,0.382034,119.724
16.4231,10.6911,18.6904
19.3266,0.665259,95.3241
29.0564,2.44904,77.3564
17.7825,0.196056,17.1409
24.2527,1.40113,45.2141
31.6686,4.57345,115.373
41.2634,61.9906,182.819
16.925,9.93367,31.9126
16.8494,0.359174,5
36.9055,1.28545,97.0937
16.8416,3.13029,34.1725
18.8596,22.0169,55.2808
36.1435,77.6033,173.445
27.5039,5.72459,86.0229
21.0958,8.0576,41.1912
30.0161,20.258,72.1628
23.3759,2.48219,53.0567
43.3933,0.716157,163.878
21.9246,12.0535,82.1096
31.3385,4.43416,83.2492
41.1004,0.264424,130.512
18.2419,1.41961,19.7602
17.6363,10.7166,17.3383
37.7793,39.8964,158.873
20.5214,15.7938,49.6478
25.6049,10.0623,47.8951
34.7304,4.41983,89.6925
25.1982,53.6377,91.953
17.0683,1.75621,16.8361
44.8898,1.79549,152.767
45.6392,0.287303,153.141
33.0175,63.8699,142.864
22.3732,15.9131,40.7454
26.2127,0.219148,82.9856
41.9478,0.578408,142.555
45.6013,0.105828,197.28
21.2087,3.60304,39.1942
28.0389,1.55446,30.3395
28.5668,35.2514,80.5656
22.7221,77.1952,41.4143
24.8029,0.39704,54.0014
28.5867,1.01303,63.4416
24.018,13.8848,56.2468
27.273,0.821952,51.1014
18.9231,1.88524,55.7446
35.7888,14.578,150.955
32.2821,12.0338,95.6455
35.1938,2.1535,123.859
28.6119,0.469702,68.5616
42.4062,0.913985,147.956
45.7915,14.8739,197.829
41.076,1.48639,171.866
39.7841,1.27076,155.558
44.3423,26.8317,231.538
33.2833,33.7231,163.311
37.6699,56.9286,153.152
32.8766,6.34612,100.156
16.9716,14.0658,5
17.4441,2.76999,20.5636
36.0732,2.64733,114.626
26.9623,20.7289,91.1578
21.0712,10.1822,38.0963
29.9773,9.12526,68.379
23.8559,0.553378,47.7639
18.3493,0.244935,21.3143
16.3044,7.51986,5
37.7,0.388269,84.3259
46.9512,31.1595,189.082
28.9865,54.8003,82.2885
17.9448,7.18933,44.4233
35.9853,3.10648,124.692
18.7988,0.102702,5
47.6619,11.2452,224.794
47.1791,5.10175,173.138
23.6139,21.4557,69.5887
19.1872,12.1093,27.3103
24.2198,0.837246,10.0021
47.849,0.492554,166.482
25.1859,42.1817,60.4994
26.0213,1.40163,58.5336
44.3501,66.4303,238.166
41.1094,38.618,193.089
24.4907,60.4706,84.4625
43.9348,56.835,183.674
37.7139,0.91924,89.4307
16.2826,0.290932,10.4844
37.0424,70.6072,117.527
29.719,0.39733,45.7148
32.7212,6.92366,94.4289
30.8689,24.7989,130.172
32.8372,1.51223,74.296
22.5177,1.53877,31.5888
47.4992,0.438601,130.075
30.6113,0.733159,68.9526
32.4296,28.1766,111.747
40.5097,28.5899,174.422
41.9193,12.7697,230.92
21.1946,0.468766,46.1509
46.5915,0.751516,156.099
20.413,1.56278,5.22977
30.1628,29.6957,84.3421
42.492,11.9625,138.406
23.6771,13.8227,85.0165
44.0302,2.27208,197.642
45.7551,2.49864,234.166
26.3996,0.189009,25.3587
18.5944,0.379643,5
20.7066,0.285075,61.2679
17.7252,21.5763,21.3838
43.4749,5.20178,203.497
29.0506,40.3438,69.5693
38.5405,1.20421,116.344
37.2467,0.980837,107.707
39.2322,66.9799,194.355
19.979,3.52264,37.777
42.129,0.38286,124.676
26.3538,3.75374,57.3172
25.2559,1.7422,72.0462
28.8697,13.6331,95.309
43.2714,2.07433,149.439
42.5013,67.7623,230.091
37.7392,0.660921,97.3771
47.3593,0.529841,204.736
17.6548,19.6288,34.5396
37.7193,0.872795,80.5184
47.454,53.9055,253.713
30.231,0.154655,62.8535
33.3241,79.0192,142.598
33.9857,0.969788,111.081
28.6039,0.14887,75.0132
28.47,18.6528,105.503
32.4517,1.69541,131.452
26.9234,0.155744,70.6735
39.7459,21.0836,147.689
22.2537,0.775222,35.6151
39.921,19.2411,131.115
18.7924,4.21886,11.7768
38.7353,1.59384,145.993
30.1249,1.93389,69.8429
26.0872,13.7446,60.1964
37.4135,23.3948,109.172
23.7068,32.8868,74.7911
41.7882,54.9964,250.081
39.1028,0.444343,97.1277
22.7763,0.986163,45.4347
37.9546,0.150598,125.031
31.944,2.85421,125.084
31.1091,0.128219,67.8274
45.4158,7.05009,230.815
47.8914,0.138345,131.743
36.1115,6.24788,177.587
22.928,4.51067,61.1993
40.5425,0.406743,93.1009
43.7387,0.917899,195.527
37.0112,9.80502,128.029
44.4509,0.132217,151.234
35.5888,5.28559,105.017
37.9791,3.45542,144.113
35.1716,1.88921,123.519
42.0693,2.39462,168.643
41.6806,27.9942,174.968
25.9883,2.20331,64.0776
25.6186,0.12144,32.4884
23.1743,74.3582,58.3126
23.9302,0.841752,35.2174
35.2538,5.77062,103.029
38.5344,0.153618,89.9934
40.5846,11.2613,187.77
24.0923,0.253925,43.0513
44.3136,40.477,237.596
38.9381,1.89713,96.0331
40.4077,3.02882,116.097
38.5241,3.03778,198.141
31.6478,0.833962,93.7315
42.2322,50.0569,213.715
24.3383,0.143376,58.3506
40.7709,11.4682,146.024
17.4198,0.222691,5
43.4901,15.0478,202.62
22.8995,0.422023,25.133
42.3479,0.531426,117.981
18.7633,13.3856,47.3557
42.5186,17.5934,202.024
32.0763,4.44086,101.568
16.1595,13.2106,36.6599
45.8192,14.3864,228.552
23.6256,0.135098,76.271
39.4187,1.24286,107.02
29.3887,0.954259,65.2568
20.3806,50.5893,60.9655
24.4841,1.67549,55.1564
44.5033,0.223199,190.378
26.228,0.335992,29.6788
36.6479,12.3831,99.8549
20.3693,0.204939,50.209
47.3223,31.7029,241.762
36.5897,0.568496,85.5479
27.9955,12.7276,51.3009
27.2549,0.58997,76.9984
39.6763,60.1449,203.407
23.5503,1.54163,79.0899
27.6088,0.507258,71.9588
21.6966,27.9625,64.6458
44.1469,0.943274,173.722
