X1,T1,E1,X2,T2,E2,X3,T3,E3,X4,T4,E4,X5,T5,E5,X6,T6,E6,X7,T7,E7,X8,T8,E8
18.0467,0.460153,19.5579,21.8162,3.85624,45.6815,26.9863,36.6704,69.7828,26.8441,6.82132,75.4349,36.9779,2.15065,105.263,43.815,0.915467,135.846,47.7383,1.41985,155.91,42.4478,60.1677,225.71
18.529,0.200543,18.2322,18.2612,0.112442,44.7908,26.8258,43.5103,67.3517,34.2863,37.9268,92.5116,24.8752,2.06119,96.5744,39.5166,0.262288,124.956,36.0223,25.8143,170.473,41.7884,3.0579,223.722
16.3836,3.25835,16.6602,20.4782,72.2836,35.5544,28.3342,3.0815,54.8598,20.2472,65.2712,94.4689,29.8605,10.5823,116.9,31.0708,22.4655,127.653,43.7199,0.230371,149.957,42.3268,35.4675,196.499
17.388,7.61741,5,24.4452,1.72912,51.2309,21.4553,32.9999,57.1994,37.0786,2.23601,79.3658,44.0597,0.101353,115.94,34.5778,26.4796,131.511,47.1275,0.759323,151.799,46.799,0.545191,192.87
22.1444,0.313588,5,26.8923,1.53941,47.2672,40.9509,0.122892,73.3829,33.7506,0.271579,90.7587,43.2095,0.432109,107.787,42.5493,1.56702,126.24,47.8081,0.718999,163.276,45.9073,5.635,197.042
16.3753,1.74208,19.1639,26.0408,3.00774,43.3452,28.4378,0.292651,61.6353,30.8573,2.53481,83.298,32.7513,14.677,111.832,46.0492,0.165664,143.702,41.9345,2.32479,159.976,38.9919,73.1962,186.361
20.5896,7.27424,12.1304,20.0347,37.0852,35.4554,23.2509,0.143208,69.4987,33.3378,0.377233,89.4034,28.4691,0.181269,110.928,34.6844,37.281,125.718,40.0079,2.80468,159.142,47.6562,3.16911,211.389
23.796,73.9067,25.7657,21.9406,1.14815,50.9126,29.6108,0.973905,64.2703,23.3532,7.45483,80.2533,22.344,57.1518,105.442,43.2009,0.123632,135.298,35.3662,45.5913,173.553,46.1412,70.9156,246.362
17.8519,2.1296,26.6531,24.0989,1.29989,40.4487,32.2371,0.160962,70.9268,31.8948,0.597169,93.6362,36.8635,4.42345,104.667,41.93,0.387702,131.837,46.8482,1.45278,168.948,45.8156,42.8274,226.915
18.5736,1.41624,9.89254,17.462,37.5673,49.2191,34.6494,0.131804,70.3757,32.3468,17.7012,94.8475,40.4145,0.267279,108.032,38.2562,1.20037,138.551,36.6934,52.4841,175.635,46.4847,40.724,239.655
17.7411,8.14632,19.6012,19.29,2.80494,38.1485,25.4214,4.82879,52.4402,33.37,1.42616,83.0692,41.0053,0.440231,108.61,32.7262,0.534591,120,32.0586,10.8592,148.572,41.9043,48.3577,198.575
26.8758,0.380355,15.4435,22.2899,2.35023,37.0116,27.5201,20.6529,58.3018,32.7249,0.269354,92.8204,31.1214,1.60694,99.0818,42.0419,1.65387,139.089,43.5278,27.2199,172.23,44.9863,68.4539,231.17
17.1502,0.34653,6.44118,18.0605,1.59644,36.081,25.5955,1.96592,64.3365,34.6928,10.9378,81.4889,42.7097,0.16714,106.387,42.7656,0.245273,144.028,37.9754,12.516,159.865,43.6869,12.2697,202.509
21.9944,0.136469,12.5326,24.3389,11.4943,51.3935,25.2383,6.70251,58.6112,24.576,6.09939,84.5278,36.952,69.7483,108.164,34.7624,47.1343,120.909,37.8277,0.35987,150.854,47.5182,1.00396,180.621
16.1503,0.318098,16.857,18.1935,42.5777,48.7778,32.6489,0.180907,53.4464,31.358,7.54534,77.844,30.4943,3.95176,103.774,36.5464,1.96168,126.846,35.9984,3.49379,146.573,42.2911,22.4939,192.665
18.8154,14.6439,5.08426,28.2421,2.84487,48.4624,30.6784,39.1086,65.6638,37.5161,0.263983,82.1501,29.771,52.8842,96.66,30.786,8.04612,119.993,36.6523,5.30951,146.521,40.4557,9.01092,181.862
