Wavenumber,t00.0h,t00.2h,t00.5h,t01.0h,t02.0h,t04.0h,t06.0h,t09.0h,t12.0h,t18.0h,t24.0h,t36.0h,t48.0h,t72.0h
1640,0.0996772,0.0997518,0.0977428,0.0998762,0.101626,0.101724,0.109846,0.108103,0.110983,0.118544,0.137163,0.142689,0.159938,0.190957
1640.38,0.100774,0.104143,0.0986748,0.0954517,0.0997424,0.106999,0.109553,0.115261,0.117168,0.119407,0.131307,0.151585,0.171894,0.198419
1640.75,0.104344,0.1064,0.104486,0.105616,0.108959,0.106828,0.119359,0.118654,0.114848,0.128674,0.139571,0.150707,0.17134,0.211588
1641.12,0.113183,0.109441,0.105817,0.107607,0.106362,0.111952,0.119281,0.121759,0.128097,0.136425,0.1377,0.15953,0.178229,0.216853
1641.5,0.110644,0.11352,0.112639,0.112013,0.107175,0.112292,0.118638,0.127034,0.132111,0.13882,0.151794,0.170827,0.189575,0.222219
1641.88,0.108275,0.113374,0.115325,0.116749,0.118292,0.123816,0.116805,0.125524,0.132223,0.141884,0.14999,0.164576,0.188428,0.23115
1642.25,0.108714,0.119504,0.112873,0.119278,0.123676,0.118278,0.13079,0.134619,0.133746,0.145074,0.153814,0.189057,0.199502,0.236695
1642.62,0.116637,0.118515,0.121694,0.12383,0.117008,0.123862,0.13046,0.137636,0.138612,0.152754,0.165811,0.191226,0.210538,0.249205
1643,0.118643,0.12452,0.118968,0.124746,0.12635,0.130155,0.131801,0.134068,0.145483,0.156248,0.168726,0.193314,0.210941,0.257125
1643.38,0.124377,0.132962,0.131891,0.130568,0.125584,0.130479,0.13491,0.140171,0.14672,0.15828,0.168387,0.196708,0.221602,0.265322
1643.75,0.127972,0.132846,0.127151,0.136172,0.13359,0.134874,0.138901,0.147777,0.155273,0.163806,0.179366,0.203895,0.227814,0.272435
1644.12,0.138729,0.126382,0.133849,0.133764,0.14028,0.140025,0.146368,0.155277,0.168135,0.17297,0.191836,0.209482,0.22895,0.278612
1644.5,0.14728,0.141252,0.14017,0.135885,0.147988,0.146055,0.154006,0.161112,0.162345,0.172833,0.186373,0.207799,0.236338,0.288582
1644.88,0.140292,0.141292,0.140671,0.143823,0.143888,0.147363,0.153705,0.163891,0.167257,0.179913,0.193586,0.227016,0.249583,0.291904
1645.25,0.14719,0.152807,0.150524,0.147986,0.150756,0.156316,0.15974,0.167083,0.171964,0.188731,0.201941,0.222784,0.255969,0.304534
1645.62,0.148617,0.150045,0.151645,0.155811,0.15267,0.165007,0.16279,0.160291,0.173891,0.191979,0.215049,0.229922,0.253446,0.317428
1646,0.145364,0.14964,0.151302,0.16234,0.15849,0.163036,0.166709,0.178286,0.177048,0.19606,0.211575,0.238642,0.279023,0.323354
1646.38,0.154924,0.153359,0.156771,0.15583,0.157554,0.168041,0.178865,0.181302,0.187075,0.197693,0.216147,0.250751,0.27979,0.339074
1646.75,0.160429,0.164493,0.165073,0.162195,0.165617,0.168035,0.173466,0.186821,0.188811,0.211399,0.220762,0.251253,0.282037,0.347283
1647.12,0.161504,0.164046,0.162411,0.164422,0.166747,0.171708,0.177059,0.184498,0.197059,0.207534,0.226023,0.262139,0.291742,0.353479
1647.5,0.170474,0.166328,0.167433,0.174657,0.172511,0.173181,0.180144,0.196258,0.198963,0.215251,0.231509,0.261385,0.300524,0.36057
1647.88,0.176032,0.16743,0.170334,0.172409,0.18172,0.181015,0.181935,0.195468,0.208761,0.225069,0.238866,0.27707,0.304363,0.37416
1648.25,0.167496,0.18494,0.177147,0.180887,0.178686,0.184603,0.195551,0.199996,0.20996,0.225996,0.248507,0.283464,0.316733,0.384269
1648.62,0.177469,0.180502,0.180463,0.184849,0.184341,0.187926,0.199868,0.208166,0.20911,0.229682,0.252675,0.279158,0.326867,0.395562
1649,0.183983,0.178207,0.182667,0.183915,0.1924,0.196401,0.201271,0.205708,0.21954,0.241028,0.253698,0.293402,0.328483,0.393215
1649.38,0.187239,0.187778,0.185782,0.184746,0.18922,0.202433,0.202914,0.214335,0.225887,0.238473,0.260608,0.29164,0.337404,0.402311
1649.75,0.183562,0.187641,0.185452,0.19093,0.196154,0.204505,0.203264,0.223298,0.224097,0.244186,0.262947,0.304147,0.339203,0.415699
1650.12,0.193911,0.191086,0.190691,0.195565,0.199526,0.213316,0.212942,0.22156,0.233297,0.250725,0.265282,0.316842,0.350132,0.425458
1650.5,0.193098,0.194253,0.199019,0.203796,0.202621,0.211601,0.216495,0.224962,0.233331,0.258258,0.273475,0.307165,0.354589,0.437679
1650.88,0.202989,0.197753,0.198212,0.202252,0.206922,0.213051,0.221951,0.222283,0.247976,0.258648,0.282333,0.316681,0.35976,0.436537
1651.25,0.198256,0.200206,0.206387,0.202686,0.212818,0.213331,0.221045,0.233661,0.244251,0.262673,0.285788,0.329918,0.365338,0.44473
1651.62,0.203737,0.207502,0.205896,0.2081,0.21139,0.215246,0.225788,0.237961,0.248726,0.272529,0.293078,0.331078,0.376808,0.454063
1652,0.212501,0.20802,0.215857,0.211777,0.216661,0.224064,0.235933,0.24345,0.25526,0.27241,0.300197,0.330194,0.368624,0.467293
1652.38,0.208002,0.218151,0.214046,0.212661,0.215967,0.222672,0.232719,0.246385,0.259305,0.280729,0.302968,0.340465,0.38433,0.471128
1652.75,0.216734,0.215085,0.21708,0.213761,0.227306,0.239014,0.230229,0.247526,0.258059,0.28182,0.305039,0.346243,0.392773,0.481724
1653.12,0.215041,0.221819,0.215107,0.224333,0.228684,0.231274,0.243133,0.248935,0.260527,0.287778,0.302721,0.354662,0.39855,0.484377
1653.5,0.219882,0.223139,0.220499,0.221841,0.216791,0.236986,0.245121,0.249031,0.258574,0.292432,0.312196,0.353751,0.400048,0.492495
1653.88,0.221692,0.226426,0.231534,0.227745,0.225244,0.238033,0.245589,0.252271,0.268247,0.291283,0.313621,0.357575,0.404211,0.496469
1654.25,0.220458,0.219547,0.22734,0.220792,0.229907,0.242545,0.247378,0.258248,0.274961,0.289846,0.314459,0.361794,0.407066,0.509406
1654.62,0.228158,0.224151,0.234244,0.233423,0.235533,0.24151,0.249114,0.254553,0.268321,0.3001,0.318614,0.372744,0.414441,0.505243
1655,0.228107,0.234135,0.232046,0.224453,0.235747,0.248199,0.256901,0.262116,0.278669,0.302027,0.327535,0.374475,0.41784,0.509578
1655.38,0.226355,0.225601,0.230787,0.240522,0.236387,0.245676,0.254868,0.267128,0.276491,0.298114,0.325953,0.377805,0.422324,0.524275
1655.75,0.231063,0.231585,0.232452,0.234176,0.240665,0.244959,0.254456,0.26568,0.287904,0.301383,0.331255,0.379238,0.423449,0.519191
1656.12,0.234288,0.234794,0.23497,0.235242,0.238868,0.247007,0.263327,0.275592,0.281109,0.302125,0.325902,0.379038,0.429573,0.521208
1656.5,0.235215,0.236085,0.236994,0.243495,0.24139,0.25292,0.258305,0.269219,0.287645,0.303402,0.329386,0.384245,0.427747,0.531315
1656.88,0.235899,0.233332,0.241585,0.24056,0.244583,0.248068,0.259717,0.269685,0.286642,0.310364,0.331106,0.375889,0.439191,0.531705
1657.25,0.2294,0.233754,0.238169,0.239202,0.247899,0.252398,0.262661,0.276332,0.289899,0.311065,0.338837,0.38389,0.435518,0.535529
1657.62,0.240576,0.238374,0.246471,0.245889,0.243063,0.254073,0.2639,0.277239,0.285749,0.314987,0.335755,0.382863,0.437649,0.542689
1658,0.235842,0.237838,0.237083,0.242909,0.252645,0.257343,0.261213,0.275254,0.290392,0.304798,0.338733,0.387731,0.433126,0.534944
1658.38,0.238526,0.241354,0.245958,0.238295,0.248947,0.256173,0.255948,0.272128,0.294196,0.312255,0.34633,0.388253,0.440629,0.531699
1658.75,0.242149,0.236877,0.2417,0.245223,0.24349,0.259802,0.263887,0.277581,0.288273,0.31121,0.335751,0.384263,0.437417,0.539542
1659.12,0.241877,0.240385,0.238686,0.24306,0.245223,0.257282,0.265769,0.274399,0.289078,0.310665,0.340257,0.386084,0.441799,0.540444
1659.5,0.23891,0.243052,0.246431,0.246819,0.244841,0.258659,0.265292,0.275017,0.29421,0.314134,0.33769,0.383263,0.443692,0.541535
1659.88,0.23811,0.246465,0.243059,0.246625,0.243843,0.255016,0.265009,0.28037,0.287993,0.309519,0.332526,0.390333,0.440588,0.541408
1660.25,0.242621,0.234572,0.245873,0.243419,0.249523,0.251924,0.261512,0.279953,0.298345,0.308149,0.339324,0.388145,0.435737,0.539935
1660.62,0.237123,0.238701,0.24726,0.246377,0.24494,0.258585,0.263081,0.278005,0.290958,0.311316,0.33791,0.390376,0.437376,0.539445
