LogTau,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12
-1.2,0.012703,0.0108905,-0.00742667,0.00368375,-0.00457441,0.00742914,0.00215396,0.00695484,0.00579106,0.00705665,-0.0133189,-0.00236163
-1.18558,0.0171258,0.0145729,0.00417436,0.00132973,-0.00241866,-0.00507423,-0.0011269,-0.000723367,0.00409421,-0.00248982,0.00680351,-0.00706991
-1.17116,0.0287299,0.0129978,0.00651205,0.00311355,-0.00996413,-0.00528236,0.00456881,0.00242644,0.00121557,0.00800105,0.000611571,0.000694641
-1.15674,0.0373697,0.00333019,-0.00506037,0.00107216,-0.00669779,0.013765,0.0062622,-0.00525738,-0.00370546,0.00161951,0.00248145,-0.00213832
-1.14232,0.0271487,0.00938043,0.00100555,0.00277828,0.00424291,0.000950653,0.00296113,0.0034259,0.00173713,0.00117045,0.0120132,0.00555058
-1.1279,0.029924,0.00396961,0.00459395,0.0078545,-0.00386641,-0.00460759,0.00463105,-0.00188216,0.00124846,-0.000500027,-0.0086643,0.00142449
-1.11348,0.0292936,0.00561408,0.00967678,0.00431057,0.00250118,0.00059093,8.13871e-05,0.000947528,0.00858061,0.000527518,0.0126417,-0.00506765
-1.09906,0.0431235,0.0131799,-0.00602446,0.00768842,-0.00695269,-0.00436143,0.0105938,0.00570938,0.00073715,0.0047143,-0.00302289,0.0145719
-1.08464,0.0543806,0.022697,-0.00320727,0.00507924,-0.000490107,0.00816455,0.00299581,0.00123779,0.00764602,-0.00611208,0.00569216,0.000980825
-1.07022,0.0640039,0.0198248,0.00445931,0.00272352,-0.00592909,0.000910724,0.00215974,-0.0145312,-0.006983,0.00450203,0.000170386,0.0078088
-1.0558,0.0665502,0.0275331,0.0166381,0.00229541,0.00435651,0.00395553,-0.00264718,0.000546829,0.0026309,0.00549348,0.00517248,-0.00369323
-1.04138,0.0649229,0.0274399,0.00240408,0.00407985,0.00297888,-0.00493947,-0.0103932,-0.00772125,-0.00596721,-0.00771075,-0.00384805,-0.000437889
-1.02696,0.0803523,0.0312527,0.0161475,0.00177829,0.0109257,4.59425e-05,-0.0020641,-0.00197864,0.00353483,0.00566904,0.00190952,-0.00834141
-1.01254,0.0893498,0.0300781,0.00634901,0.00708414,0.00168272,0.00814304,-0.00154436,0.000715475,0.00157846,-0.00360199,0.00174438,0.0015299
-0.998119,0.0930838,0.0473939,0.0151052,-0.00177471,0.00322073,0.00766191,-0.00851298,0.00286365,0.00902073,0.00339733,-0.00183369,-0.00621294
-0.983699,0.116629,0.0361675,0.0162277,-0.01103,0.00649327,0.0048455,-0.00477899,0.000167007,0.00868082,0.00463164,0.00868175,0.00335813
-0.969279,0.117791,0.0396711,0.0187964,0.00927586,0.00545041,-0.000189805,-0.00448746,-0.00547005,-4.85551e-05,-0.000382676,-0.00178522,-0.000793943
-0.954859,0.133779,0.0599936,0.0342083,0.00491703,0.010436,0.00933671,0.0110104,-0.00241305,0.00131254,-0.000881982,-0.0038112,0.00594138
-0.940439,0.143958,0.0651571,0.010114,0.0145619,0.0110458,-0.00296426,0.00643151,-0.00354104,0.00848794,-0.00507142,0.00146975,0.00594263
-0.926019,0.155788,0.0738219,0.0190509,0.00959335,-0.00354597,-0.00352621,0.00974884,-0.00554219,-0.0043424,0.0129505,-0.00372146,-0.0013224
-0.911599,0.171814,0.0735289,0.0252527,0.0191454,5.39454e-05,0.0140131,-0.00686683,0.00136858,0.00682758,-0.0119486,-0.010502,-0.00546959
-0.897179,0.18788,0.0819062,0.0417516,0.0102037,0.0113482,-0.0144945,-0.00193795,0.000107648,0.00719854,0.00159938,-0.00417693,-0.00210243
-0.882759,0.210121,0.0979304,0.0380035,0.000854575,0.0221547,0.00134512,0.0032994,-0.00724249,0.00264867,-0.000206277,-0.00710537,0.00313292
-0.868339,0.225582,0.104076,0.048091,0.0288136,0.000640091,-0.0049887,0.00447643,-0.00491016,0.000687551,0.0116509,0.00145765,0.00656689
-0.853918,0.24893,0.124117,0.0477494,0.0269706,-0.00653586,-0.00478419,-0.00140703,0.00113277,-0.000839483,0.000453795,0.0035214,0.0101814
-0.839498,0.268179,0.123143,0.0634577,0.0124811,0.0116267,0.00413037,9.91277e-05,-0.0129842,-0.00342083,-0.00428951,0.00585777,-0.00532063
-0.825078,0.283679,0.141283,0.0552796,0.0213504,0.00202428,0.00449147,-0.00701086,-0.0033999,0.00462962,-0.00862202,0.00325719,0.00807763
-0.810658,0.304905,0.150862,0.0632242,0.0282813,0.00857905,0.0102471,-0.0034134,-0.00193162,0.0110816,-0.00112367,-0.00568488,-0.00174062
-0.796238,0.333202,0.170828,0.0777636,0.0237287,0.0195681,0.00881786,-0.000733586,-0.00442695,0.00431899,0.00211823,0.000444781,0.00158484
-0.781818,0.357569,0.168644,0.0893613,0.0366758,0.0139267,-0.00149278,0.00724794,-0.00542451,0.000322729,-0.0128393,0.000407088,-0.001084
-0.767398,0.389269,0.210154,0.0939911,0.0365155,0.0196014,0.0131884,0.00688186,-0.00322092,-0.00577404,-0.00685779,-0.00360196,0.017095
-0.752978,0.409008,0.215526,0.0917114,0.0432347,0.0256449,0.00299283,0.000720809,0.0108946,-0.0116441,0.00128865,0.00820837,-0.00698644
