LogTau,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12
-1.2,0.0180689,0.626566,1.24458,1.85505,2.47338,3.09858,3.71528,4.34396,4.96024,5.58056,6.203,6.81994
-1.18847,0.021322,0.628173,1.24159,1.86143,2.47871,3.10141,3.72297,4.34395,4.9612,5.57427,6.20428,6.82196
-1.17694,0.021296,0.62592,1.24374,1.85856,2.48003,3.09939,3.71906,4.33685,4.96738,5.58213,6.19604,6.82083
-1.16541,0.0213141,0.632459,1.24304,1.8593,2.48064,3.09651,3.72156,4.33977,4.97004,5.57876,6.20507,6.81207
-1.15388,0.0257764,0.630198,1.24549,1.85392,2.47559,3.10322,3.7183,4.34413,4.95645,5.57886,6.1981,6.81844
-1.14236,0.026599,0.625626,1.2435,1.85745,2.4829,3.09793,3.72124,4.33738,4.96422,5.57407,6.1959,6.82181
-1.13083,0.0340464,0.627997,1.24873,1.86107,2.47534,3.0981,3.71702,4.33701,4.9625,5.57771,6.19932,6.821
-1.1193,0.0426954,0.636312,1.24597,1.86487,2.47947,3.09459,3.71993,4.34332,4.9616,5.57709,6.19415,6.82441
-1.10777,0.0392018,0.636455,1.24638,1.86546,2.48581,3.09698,3.72236,4.34626,4.96192,5.57985,6.20002,6.81464
-1.09624,0.042852,0.628664,1.24705,1.86138,2.47766,3.10275,3.72022,4.3354,4.95992,5.57419,6.20116,6.82187
-1.08471,0.0518039,0.643476,1.24025,1.86117,2.47848,3.0937,3.71822,4.32962,4.96637,5.5802,6.1992,6.81717
-1.07318,0.0561507,0.642479,1.24616,1.85885,2.48508,3.09991,3.71571,4.33421,4.96247,5.5805,6.20215,6.82055
-1.06165,0.0604121,0.647653,1.2466,1.86407,2.47918,3.10309,3.72074,4.33597,4.96139,5.57552,6.19874,6.82139
-1.05013,0.061946,0.643141,1.24938,1.86179,2.47964,3.09875,3.72145,4.33947,4.965,5.5775,6.20002,6.82252
-1.0386,0.0716594,0.64611,1.24412,1.86556,2.48189,3.10125,3.71905,4.34249,4.9636,5.57657,6.19424,6.81747
-1.02707,0.0811186,0.64564,1.2572,1.87054,2.48542,3.09587,3.71702,4.33944,4.96186,5.58363,6.20017,6.82051
-1.01554,0.0799951,0.663398,1.2523,1.86384,2.4722,3.10562,3.72228,4.33723,4.96133,5.56989,6.1966,6.8151
-1.00401,0.0910704,0.655921,1.24838,1.85847,2.47802,3.10484,3.73006,4.34065,4.96704,5.57863,6.1982,6.81413
-0.992481,0.0933397,0.666632,1.24787,1.86156,2.47747,3.10144,3.71894,4.3362,4.96206,5.57336,6.19963,6.82199
-0.980952,0.104365,0.661656,1.2552,1.85978,2.47737,3.09355,3.72152,4.33986,4.95967,5.57828,6.20077,6.81955
-0.969424,0.111288,0.669186,1.25775,1.86149,2.47855,3.09646,3.72171,4.33749,4.9566,5.58339,6.19341,6.8133
-0.957895,0.127418,0.666471,1.25718,1.87224,2.47888,3.10464,3.70996,4.35079,4.95865,5.57748,6.19375,6.81637
-0.946366,0.133581,0.676612,1.26254,1.86875,2.48385,3.10768,3.72075,4.34334,4.95584,5.58056,6.19879,6.81985
-0.934837,0.150633,0.687444,1.26193,1.86267,2.47929,3.10213,3.71747,4.33675,4.96047,5.57663,6.2019,6.82599
-0.923308,0.16169,0.684267,1.26922,1.87236,2.48381,3.10606,3.72587,4.33611,4.96107,5.58777,6.20144,6.82395
-0.911779,0.17246,0.699746,1.26686,1.87588,2.48535,3.09878,3.71936,4.33836,4.95184,5.58366,6.20357,6.82296
-0.900251,0.175928,0.703426,1.27258,1.8706,2.48116,3.10061,3.71732,4.33355,4.96012,5.58452,6.20521,6.81263
-0.888722,0.197276,0.704979,1.27988,1.87066,2.48519,3.10154,3.71962,4.33723,4.96265,5.5747,6.20199,6.81938
-0.877193,0.213327,0.714701,1.28975,1.87346,2.49191,3.10343,3.72122,4.33722,4.96073,5.57561,6.19993,6.82168
-0.865664,0.228724,0.722918,1.27921,1.87753,2.48713,3.09584,3.71839,4.34373,4.95625,5.58434,6.19588,6.82134
-0.854135,0.237558,0.733115,1.28546,1.88069,2.48387,3.10596,3.7205,4.33852,4.96515,5.57924,6.19622,6.82143
-0.842607,0.257831,0.740256,1.28836,1.88475,2.48696,3.10776,3.71539,4.33709,4.9573,5.57899,6.19814,6.81884
-0.831078,0.272542,0.748723,1.29959,1.88693,2.48429,3.09817,3.72001,4.33493,4.95519,5.58136,6.20108,6.8268
-0.819549,0.290576,0.761007,1.29694,1.88906,2.49004,3.09768,3.72413,4.33562,4.95579,5.57501,6.20089,6.82567
-0.80802,0.316039,0.768884,1.30505,1.8922,2.49345,3.10487,3.72904,4.34011,4.96007,5.58313,6.20003,6.8194
-0.796491,0.327162,0.779186,1.31271,1.89204,2.48765,3.10126,3.72413,4.33956,4.96408,5.58011,6.1994,6.81585
-0.784962,0.349452,0.7961,1.31515,1.88613,2.49134,3.09485,3.72256,4.34502,4.96482,5.58196,6.20254,6.82798
-0.773434,0.372877,0.81238,1.32191,1.89483,2.49804,3.10807,3.72639,4.33803,4.96102,5.57737,6.20085,6.81756
-0.761905,0.387304,0.815899,1.33094,1.89996,2.49287,3.10601,3.72593,4.34485,4.95543,5.58212,6.20121,6.82456
-0.750376,0.41,0.835817,1.33201,1.90078,2.49722,3.1041,3.72874,4.34172,4.95761,5.57725,6.20126,6.82741
-0.738847,0.432169,0.847609,1.34267,1.90985,2.49396,3.11513,3.72666,4.34076,4.95667,5.5839,6.19784,6.816
-0.727318,0.453697,0.861327,1.35533,1.90895,2.49663,3.10797,3.72214,4.33285,4.95958,5.58461,6.19591,6.82094
-0.715789,0.470645,0.884294,1.36661,1.91118,2.49988,3.10521,3.72395,4.33583,4.95324,5.58375,6.202,6.81839
-0.704261,0.498295,0.895064,1.37483,1.92549,2.51285,3.10952,3.72398,4.34408,4.96082,5.58219,6.2017,6.82184
-0.692732,0.52616,0.91999,1.37857,1.92754,2.50486,3.10593,3.72485,4.34685,4.963,5.58267,6.19916,6.82106
-0.681203,0.537506,0.92833,1.39444,1.93128,2.50693,3.10812,3.72485,4.34223,4.95988,5.56933,6.19839,6.82756
-0.669674,0.570276,0.951025,1.41068,1.94002,2.50955,3.11388,3.72138,4.34463,4.96238,5.58351,6.20917,6.82214
-0.658145,0.590574,0.967158,1.42147,1.94686,2.51411,3.11139,3.7166,4.34014,4.95685,5.5791,6.19703,6.81975
-0.646617,0.610836,0.984178,1.43126,1.95068,2.52061,3.11319,3.72289,4.34049,4.95486,5.5806,6.1992,6.82429
-0.635088,0.644689,1.00918,1.44094,1.94661,2.5222,3.12318,3.71808,4.33956,4.95822,5.57912,6.20114,6.8187
-0.623559,0.66293,1.02634,1.4605,1.96131,2.53339,3.12159,3.72713,4.34637,4.96549,5.57472,6.19548,6.81834
-0.61203,0.678113,1.04994,1.46974,1.97021,2.53,3.12315,3.72762,4.34412,4.96508,5.57817,6.20058,6.82875
-0.600501,0.705998,1.06833,1.48205,1.9766,2.53922,3.124,3.7217,4.34213,4.95925,5.583,6.20731,6.81652
-0.588972,0.730481,1.08554,1.49876,1.99031,2.53913,3.12592,3.73204,4.3421,4.96602,5.58608,6.20387,6.81786
-0.577444,0.749501,1.11118,1.52359,2.00376,2.54535,3.13209,3.73372,4.34603,4.96005,5.57797,6.20268,6.81999
-0.565915,0.774597,1.13378,1.53507,2.00703,2.54239,3.12864,3.7317,4.34551,4.96756,5.5769,6.20254,6.8156
-0.554386,0.792661,1.15963,1.55578,2.01494,2.55325,3.13879,3.73913,4.34136,4.96362,5.58639,6.20065,6.8114
-0.542857,0.816029,1.17458,1.56672,2.03862,2.55944,3.13042,3.7412,4.35206,4.96008,5.57713,6.20406,6.82406
-0.531328,0.838843,1.20059,1.59041,2.04027,2.56509,3.13629,3.73025,4.34678,4.96528,5.58903,6.19963,6.81671
-0.519799,0.849334,1.21646,1.60279,2.04925,2.56418,3.13511,3.7407,4.34641,4.95924,5.58103,6.19859,6.8177
-0.508271,0.870942,1.24857,1.62359,2.06779,2.58345,3.1428,3.73993,4.35295,4.95886,5.57739,6.20073,6.81838
-0.496742,0.885442,1.2642,1.65364,2.08176,2.58595,3.15006,3.74158,4.35187,4.95709,5.58497,6.20398,6.81596
-0.485213,0.903974,1.28374,1.66668,2.091,2.59375,3.15788,3.74553,4.34823,4.96425,5.58793,6.20173,6.81561
-0.473684,0.913822,1.31298,1.68192,2.1113,2.60293,3.15379,3.74095,4.3516,4.96336,5.57555,6.20315,6.82056
-0.462155,0.930234,1.33963,1.70426,2.12106,2.61195,3.16113,3.74366,4.34613,4.96365,5.58768,6.19241,6.82953
-0.450627,0.944563,1.35078,1.7269,2.13473,2.62388,3.16465,3.7451,4.34889,4.96274,5.58048,6.20534,6.82291
-0.439098,0.960501,1.37379,1.75172,2.15509,2.62704,3.16844,3.74794,4.34354,4.9706,5.58774,6.21,6.82297
-0.427569,0.971756,1.39597,1.76644,2.17394,2.63877,3.17229,3.75332,4.3587,4.96367,5.58047,6.20606,6.81399
-0.41604,0.970819,1.41468,1.78315,2.18531,2.65452,3.18329,3.75086,4.34756,4.96303,5.57591,6.19953,6.81995
-0.404511,0.9805,1.44035,1.81085,2.20667,2.66532,3.18248,3.75567,4.35932,4.97152,5.58447,6.1975,6.81535
-0.392982,0.992429,1.45456,1.83397,2.22295,2.67513,3.1966,3.76556,4.35484,4.97289,5.58644,6.20211,6.82321
-0.381454,0.986602,1.47311,1.85632,2.25306,2.68676,3.20339,3.76662,4.35594,4.9693,5.59141,6.19717,6.81925
-0.369925,0.995998,1.49571,1.8831,2.25781,2.69865,3.20822,3.77233,4.36091,4.96178,5.59025,6.20414,6.82036
-0.358396,0.999273,1.50685,1.90096,2.28547,2.71522,3.21478,3.76741,4.36473,4.96721,5.5865,6.19928,6.81991
-0.346867,1.00503,1.52715,1.92466,2.2994,2.73416,3.22169,3.77628,4.36825,4.973,5.58316,6.20538,6.81799
-0.335338,1.00162,1.53608,1.93852,2.31912,2.73971,3.24356,3.78193,4.37518,4.97165,5.58246,6.20716,6.8143
-0.32381,0.994943,1.54859,1.96763,2.34286,2.76506,3.24,3.78933,4.372,4.97891,5.58383,6.19377,6.82278
-0.312281,0.990709,1.55845,1.99345,2.36416,2.77787,3.26136,3.79221,4.37674,4.96843,5.5822,6.20328,6.81501
-0.300752,0.985672,1.58442,2.00865,2.38651,2.78872,3.26776,3.80398,4.37367,4.97792,5.58499,6.19954,6.81591
-0.289223,0.98584,1.58567,2.02661,2.40381,2.81018,3.27461,3.80605,4.38197,4.97411,5.57652,6.19695,6.81954
-0.277694,0.969719,1.59664,2.0457,2.4213,2.81818,3.28263,3.81274,4.38299,4.98344,5.58808,6.20039,6.81801
