held_formulation,held_realization,anchor_temperature_c,target_temperature_c,observed_viscosity_reported,predicted_viscosity_reported,log_error_pred_over_obs,absolute_percentage_error
E1,E1__R01__day1_1,110.0,120,780.0,824.817706623116,0.055868480566467,0.05745859823476418
E1,E1__R01__day1_1,110.0,130,599.0,673.6425232191755,0.1174379911146611,0.12461189185171206
E2,E2__R03__day1_0,110.0,120,6977.0,5866.482517719724,-0.173363801098796,0.15916833628784244
E2,E2__R03__day1_0,110.0,130,5128.0,4562.934640324279,-0.116749741614332,0.11019215282287853
E2,E2__R01__day1_0,110.0,120,1955.0,1948.311230077402,-0.0034272319451245,0.0034213656893085087
E2,E2__R01__day1_0,110.0,130,1536.0,1515.3913396998405,-0.0135079190875424,0.013417096549583007
E2,E2__R02__day1_0,110.0,120,4017.0,4242.889825988551,0.0547092444414713,0.056233464273973244
E2,E2__R02__day1_0,110.0,130,3302.0,3300.108523907742,-0.0005729915335863,0.0005728274052870796
E2,E2__R02__day1_1,110.0,120,4863.0,4956.973385143542,0.0191398184564274,0.01932415898489448
E2,E2__R02__day1_1,110.0,130,3845.0,3855.520834148608,0.0027325010662024,0.002736237749963122
E3,E3__R03__day1_0,110.0,120,3839.0,4127.167154491032,0.0723793365947747,0.07506307749180308
E3,E3__R03__day1_0,110.0,130,2959.0,3362.896420499374,0.1279512591331704,0.1364976074685278
