held_formulation,anchor_temperature_c,n_held_realizations,multiplicative_error
E1,80.0,1,1.0275895129613675
E1,90.0,1,1.0338838332334566
E1,100.0,1,1.033648072989152
E1,110.0,1,1.035600136455308
E1,120.0,1,1.0283129275650702
E1,130.0,1,1.0531607760090755
E2,80.0,4,1.0741207478117278
E2,90.0,4,1.101869320753778
E2,100.0,4,1.1030089817799829
E2,110.0,4,1.0765633565570163
E2,120.0,4,1.1193080015618975
E2,130.0,4,1.1089143813917635
E3,80.0,1,1.0394922309240047
E3,90.0,1,1.0497219844161487
E3,100.0,1,1.040509256483716
E3,110.0,1,1.0436230037873924
E3,120.0,1,1.0485684389735073
E3,130.0,1,1.073864560348019
