metric,value,unit_or_basis
H3PO4_standard_solution_concentration,0.1,mol/L
H3PO4_amount,0.025,mmol
calculated_solution_volume,0.25,mL
calculated_neat_H3PO4_mass,2.45,mg
E1_plusP_apparent_E_eta,40.7662,kJ/mol
E1_plusP_ln_eta_vs_invT_R2,0.997862,R2
primary_E_eta_mean,42.0516,kJ/mol
primary_E_eta_SD,2.4257,kJ/mol
E1_plusP_delta_from_primary_mean,-1.2855,kJ/mol
E1_plusP_standardized_delta,-0.5299,SD
shared_shape_intercept_only_mult_RMSE,1.03396,multiplicative
anchor_120C_predict_other_temperatures_mult_RMSE,1.03897,multiplicative
geometric_mean_plusP_to_E1_R01_day1_ratio,0.878527,ratio
mean_absolute_percent_difference_vs_E1_R01_day1,12.1064,percent
