candidate_id,family,AC1920_pct,TK100_pct,why_admissible,pre_result_evidence,dimension_introduced,post_result_influence
S1C01,measured_reactive_core_only,0.0,0.0,Matches measured local design point E1; chemically and operationally realizable.,data/formulations.csv;data/temperature_sweeps.csv;data/thermal_hold.csv,Original local five-point design (pre-result).,none
S1C02,measured_reactive_core_only,0.0,0.0,Matches measured local design point E2; chemically and operationally realizable.,data/formulations.csv;data/temperature_sweeps.csv,Original local five-point design (pre-result).,none
S1C03,measured_reactive_core_only,0.0,0.0,Matches measured local design point E3; chemically and operationally realizable.,data/formulations.csv;data/temperature_sweeps.csv,Original local five-point design (pre-result).,none
S1C04,measured_reactive_core_only,0.0,0.0,Matches measured local design point E4; chemically and operationally realizable.,data/formulations.csv;data/temperature_sweeps.csv,Original local five-point design (pre-result).,none
S1C05,measured_reactive_core_only,0.0,0.0,Matches measured local design point E5; chemically and operationally realizable.,data/formulations.csv;data/temperature_sweeps.csv;data/thermal_hold.csv,Original local five-point design (pre-result).,none
S1C06,interpolated_reactive_core_only,0.0,0.0,Interpolation inside the measured local design (stoichiometry midpoint between NCO:OH 1.70 and 1.80 at 50/50).,data/formulations.csv;data/temperature_sweeps.csv,Original local five-point design (pre-result).,none
S1C07,interpolated_reactive_core_only,0.0,0.0,Interpolation inside the measured local design (stoichiometry midpoint between NCO:OH 1.80 and 1.90 at 50/50).,data/formulations.csv;data/temperature_sweeps.csv,Original local five-point design (pre-result).,none
S1C08,interpolated_reactive_core_only,0.0,0.0,Interpolation inside the measured local design (polyol-ratio midpoint between 60/40 and 50/50 at NCO:OH 1.80).,data/formulations.csv;data/temperature_sweeps.csv,Original local five-point design (pre-result).,none
S1C09,interpolated_reactive_core_only,0.0,0.0,Interpolation inside the measured local design (polyol-ratio midpoint between 50/50 and 40/60 at NCO:OH 1.80).,data/formulations.csv;data/temperature_sweeps.csv,Original local five-point design (pre-result).,none
S1C10,uniform_modifier_lattice_on_E2_core,0.0,2.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;LOCAL_FORMULATIONS,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
